outcome,outcome_label,spec,entry,term,term_label,estimate,std_error,ci_lo,ci_hi,pct_change,pct_lo,pct_hi,p,n,fe,cluster,window
n_caller,caller complaints,total,joint,tract_asian10,Tract Asian share (+10 pp),0.013696133320262057,0.009481600692156002,-0.004887462552153761,0.032279729192677874,1.379035502047543,-0.4875538341341912,3.2806370993502476,0.14859953235390466,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,direct,joint,tract_poverty10,Tract poverty rate (+10 pp),0.012594377166239472,0.018111234981384425,-0.02290299111281597,0.04809174544529491,1.2674020335170955,-2.2642708482162877,4.926691636912239,0.4868107364160368,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,direct,joint,tract_log_income_z,Tract log median income (+1 SD),-0.041071501173849584,0.01638785329551753,-0.07319110341698998,-0.008951898930709183,-4.023949650822201,-7.0576802895592206,-0.8911949978677169,0.012203102456878279,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,direct,joint,tract_renter10,Tract renter share (+10 pp),0.0038178520526516964,0.006798042702193291,-0.009506066809012507,0.017141770914315898,0.38251493334904296,-0.9461026986097298,1.728953416986001,0.5743814357614383,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,direct,joint,tract_foreign10,Tract foreign-born share (+10 pp),0.018961795433768944,0.014241402758050975,-0.008950841061340364,0.04687443192887825,1.9142711968395565,-0.8910901536432703,4.799040668337762,0.18303914561033752,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,direct,joint,tract_overcrowd10,Tract overcrowded-household share (+10 pp),-0.004726683634504846,0.017970410207539242,-0.039948040428692724,0.03049467315968303,-0.47155304448669444,-3.916063734331121,3.0964398251431824,0.7925306028851926,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,direct,joint,tract_black10,Tract Black share (+10 pp),-0.007541076388489747,0.005485685483406379,-0.018292822366480447,0.0032106695895009535,-0.7512713811508531,-1.8126524255900445,0.32158293096817836,0.169229867658661,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,direct,joint,tract_hispanic10,Tract Hispanic share (+10 pp),0.003514249024545345,0.006697854962897509,-0.009613305476406635,0.016641803525497326,0.35204312374725877,-0.9567245370104449,1.678104970120664,0.5998037442893129,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,direct,joint,tract_asian10,Tract Asian share (+10 pp),0.01773545044141811,0.009078439882682374,-5.7964764451381295e-05,0.035528865647287605,1.7893657449499445,-0.0057963084526879705,3.616755734362931,0.050751013969069,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_agency,agency-initiated complaints,total,bivariate,tract_poverty10,Tract poverty rate (+10 pp),0.06180209911866862,0.010055453840207687,0.04209377174365657,0.08151042649368068,6.375180647584866,4.299227736978728,8.49245294837786,7.939757740160758e-10,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_agency,agency-initiated complaints,direct,bivariate,tract_poverty10,Tract poverty rate (+10 pp),0.03989873562007806,0.009057500441584588,0.02214636096461663,0.0576511102755395,4.0705382471027285,2.239341200635492,5.934533652632257,1.0575984203065047e-05,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_agency,agency-initiated complaints,total,bivariate,tract_log_income_z,Tract log median income (+1 SD),-0.002747822848676305,0.009254747259654066,-0.020886794163619042,0.01539114846626643,-0.27440510390183137,-2.0670175853799044,1.5510202198845358,0.7665355645633685,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_agency,agency-initiated complaints,direct,bivariate,tract_log_income_z,Tract log median income (+1 SD),-0.0015776523991277134,0.00852288997358702,-0.018282209791555808,0.015126904993300381,-0.15764085597828048,-1.8116103994779809,1.5241895706864739,0.8531445770893316,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_agency,agency-initiated complaints,total,bivariate,tract_renter10,Tract renter share (+10 pp),0.03758330535563394,0.005873894163617883,0.02607068434594287,0.04909592636532502,3.829848930404811,2.6413497276101428,5.032109939321372,1.5705192701886972e-10,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_agency,agency-initiated complaints,direct,bivariate,tract_renter10,Tract renter share (+10 pp),0.009609813473087505,0.0053898440964113715,-0.0009540868381646157,0.020173713784339624,0.965613599527626,-0.09536318420306777,2.037857845625357,0.07459471646101057,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_agency,agency-initiated complaints,total,bivariate,tract_foreign10,Tract foreign-born share (+10 pp),-0.0441440531781191,0.008124629301133683,-0.06006803399607995,-0.028220072360158246,-4.318388485728974,-5.82995362408496,-2.7825605456072044,5.530201496739551e-08,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_agency,agency-initiated complaints,direct,bivariate,tract_foreign10,Tract foreign-born share (+10 pp),-0.026118007477166916,0.007626294358002315,-0.04106526975435247,-0.011170745199981362,-2.577988243317686,-4.023351581927392,-1.1108584103051156,0.0006154081938578582,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
