term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,n,pct_change
llc,0.311453305116612,0.014587470421612242,21.3507411576427,0.0,0.2828623884647087,0.34004422176851534,ppml_dobviol,DOB violations 2020-26 (union),765821,36.54080273666296
corp_other,0.25992843351712097,0.017562288648555264,14.800373614090644,0.0,0.22550698027985602,0.2943498867543859,ppml_dobviol,DOB violations 2020-26 (union),765821,29.683727326213315
trust_estate,-0.02516438187892949,0.02362943155660083,-1.0649592572149658,0.28689436743747665,-0.07147721670502136,0.021148452947162374,ppml_dobviol,DOB violations 2020-26 (union),765821,-2.485039807114642
nycha,1.232568029432441,0.05626797637115281,21.905320022568787,0.0,1.1222848222620307,1.3428512366028513,ppml_dobviol,DOB violations 2020-26 (union),765821,243.00266452167455
govt,0.6093208169219889,0.06197875490968412,9.831123871557207,0.0,0.487844689492373,0.7307969443516049,ppml_dobviol,DOB violations 2020-26 (union),765821,83.9181833309241
owner_occ_star,-0.2507154139787968,0.017474779740109546,-14.347271765797098,0.0,-0.2849653529071817,-0.2164654750504119,ppml_dobviol,DOB violations 2020-26 (union),765821,-22.175618264121866
is_coop,0.18953938358415534,0.029360697581166897,6.45554769467512,1.0782819082066908e-10,0.13199347376409593,0.24708529340421476,ppml_dobviol,DOB violations 2020-26 (union),765821,20.869272570374452
is_condo,0.4454879297276075,0.029244294391042144,15.233328038992298,0.0,0.3881701659678781,0.5028056934873368,ppml_dobviol,DOB violations 2020-26 (union),765821,56.1251791176248
era_pre1940,0.20832077144355798,0.021612869378942242,9.638737355555769,0.0,0.16596032585826262,0.2506812170288534,ppml_dobviol,DOB violations 2020-26 (union),765821,23.160817092378515
era_4079,0.0605042455603698,0.02592419784576422,2.33389075026889,0.019601443211267444,0.00969375145458106,0.11131473966615854,ppml_dobviol,DOB violations 2020-26 (union),765821,6.237210792566983
era_8099,0.13443748659152827,0.03572163054128006,3.763475646392226,0.0001675680523787193,0.0644243772615733,0.20445059592148324,ppml_dobviol,DOB violations 2020-26 (union),765821,14.389314810760801
era_unknown,0.732386455237385,0.11733260528036805,6.241968747624212,4.3209724687187645e-10,0.5024187746756094,0.9623541357991606,ppml_dobviol,DOB violations 2020-26 (union),765821,108.00386083285632
mixed_use,0.6254404154379107,0.01892491424189552,33.048520455290934,0.0,0.5883482651132864,0.662532565762535,ppml_dobviol,DOB violations 2020-26 (union),765821,86.90689430081638
mzone,0.17477957825333268,0.0379900503387699,4.600667192982508,4.2113983391711685e-06,0.10032044781847999,0.24923870868818537,ppml_dobviol,DOB violations 2020-26 (union),765821,19.098366897724883
multi_bldg,0.36596658189423464,0.015902564692050713,23.013054119325293,0.0,0.33479812783599694,0.39713503595247235,ppml_dobviol,DOB violations 2020-26 (union),765821,44.19070560468652
log2_area_per_unit,0.4041985051525061,0.015136136545506908,26.704205788397868,0.0,0.37453222265823205,0.43386478764678016,ppml_dobviol,DOB violations 2020-26 (union),765821,49.81012982709614
value_rank,-0.3162984125004141,0.029113987348734462,-10.864139243852597,0.0,-0.3733607791502884,-0.2592360458505397,ppml_dobviol,DOB violations 2020-26 (union),765821,-27.11580778277005
any_prior_viol,1.1591681383737875,0.014752918077058839,78.57212602409305,0.0,1.1302529502758822,1.1880833264716928,ppml_dobviol,DOB violations 2020-26 (union),765821,218.7280796434594
