term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,n,pct_change
era_unknown,1.117502082967596,0.14560359154722244,7.674962348749244,1.6653345369377348e-14,0.8321242875153592,1.4028798784198326,ppml_pooled_n_complaints,complaints,459970,205.72080055363267
com_class,-0.08291023304477295,0.06435571225292475,-1.288311948423894,0.1976373955182702,-0.20904511125992853,0.043224645170382645,ppml_pooled_n_complaints,complaints,459970,-7.956623195139501
log_bldgarea,0.8312375988561949,0.10966174173287585,7.580014558596012,3.4638958368304884e-14,0.6163045345778251,1.0461706631345646,ppml_pooled_n_complaints,complaints,459970,129.61587059206616
mzone,-0.09297661164002423,0.07584352274123773,-1.2259004893172092,0.22023612465440356,-0.24162718467349475,0.05567396139344631,ppml_pooled_n_complaints,complaints,459970,-8.878518813304659
multi_bldg,0.03665768285672271,0.016386068427645395,2.237124971044092,0.02527817332699378,0.004541578890328857,0.06877378682311656,ppml_pooled_n_complaints,complaints,459970,3.733786151969487
log2_area_per_unit,-0.20252843854570246,0.07647062584238273,-2.6484475092847224,0.008086240554980861,-0.3524081110720106,-0.05264876601939433,ppml_pooled_n_complaints,complaints,459970,-18.33367424475043
value_rank,-0.15373464193905648,0.05720982314484445,-2.6872070824241048,0.00720522672972379,-0.26586383486485765,-0.041605449013255316,ppml_pooled_n_complaints,complaints,459970,-14.250046476231393
any_prior_viol,0.5824390984140159,0.019145966744666496,30.420981409897536,0.0,0.5449136931452679,0.6199645036827638,ppml_pooled_n_complaints,complaints,459970,79.04000713268377
geo_nyc_other,0.07267893462014016,0.014792028795646542,4.913385149813282,8.951717975769213e-07,0.04368709092239354,0.10167077831788679,ppml_pooled_n_complaints,complaints,459970,7.538521252006247
geo_outside_nyc,0.11315457307394805,0.027885936901439527,4.05776479642349,4.954462748330002e-05,0.058499141071970094,0.167810005075926,ppml_pooled_n_complaints,complaints,459970,11.9805011274432
geo_unknown,-0.47790686816058425,0.01832020525385775,-26.086327174743293,0.0,-0.513813810647527,-0.44199992567364155,ppml_pooled_n_complaints,complaints,459970,-37.99200565213455
multi_prop_owner,0.18019728643456442,0.01978066692562376,9.109767992763576,0.0,0.1414278916701592,0.21896668119896964,ppml_pooled_n_complaints,complaints,459970,19.74535811673208
sg_chinese,0.7000664042086888,0.03977194352708149,17.60201644991274,0.0,0.6221148273004482,0.7780179811169294,ppml_pooled_n_conv,conversion complaints,456228,101.38864335654496
sg_south_asian,0.6554852036515885,0.04936910197001558,13.277235710094518,0.0,0.5587235418412725,0.7522468654619044,ppml_pooled_n_conv,conversion complaints,456228,92.60768302032896
