word,z,n_strict,n_lenient
feet,3.9124389440574157,79,19
expiration,3.919107382564343,54,8
scaffolding,3.9318682643558978,108,32
entry,3.9395338746010773,106,31
ladder,4.023651964299486,65,12
contrary,4.044512236904598,70,14
compliant,4.044882807516301,86,21
temporary,4.180757249730424,126,38
stated,4.233236184751307,69,12
sealed,4.261016121300511,97,24
damage,4.275112131971222,104,27
request,4.292236241652346,111,30
reviewed,4.466941081769586,76,13
area,4.478098518934667,257,99
residential,4.490837511597226,104,25
corrective,4.500033313283297,70,10
manager,4.546174812723327,71,10
boiler,4.546959490716659,147,44
fence,4.55658907661781,611,289
had,4.586402362989395,90,18
scope,4.637747386478331,98,21
outside,4.643905935042417,105,24
reinspection,4.788014634166436,157,46
saw,4.859163760764494,72,6
yard,4.863231582551182,278,104
parked,4.960230671221505,172,51
sty,4.961938875626064,75,5
height,4.994073324751294,99,18
stable,5.023326395810881,79,4
entrance,5.030996759803441,152,41
walked,5.1104903425142245,127,29
expire,5.11371183706405,429,178
occupancy,5.11955461894681,208,66
process,5.131195194821287,91,13
unobstructed,5.133234478993055,90,3
falling,5.1561784947887945,234,78
pedestrian,5.164280992003129,126,28
ownership,5.173510774631077,82,5
vehicle,5.178665489171779,218,70
crack,5.188770516629846,122,26
incident,5.197098148167813,97,15
however,5.232641496837211,157,41
observe,5.356047552893794,319,117
heard,5.3781414033567945,88,7
gain,5.402218198470501,168,44
adjacent,5.435587159066255,206,61
failure,5.4818752340589425,108,3
gate,5.516736650164909,153,36
file,5.528356347567431,189,52
active,5.645004951817782,1401,708
vibration,5.649067885535256,122,21
equipment,5.680561399679776,155,35
spoke,5.687106373845274,123,21
unable,5.721454997500339,214,61
response,5.733738742499833,111,15
debri,5.788123846484553,519,212
maintain,5.818088571798445,122,19
standing,5.924387715586481,107,7
further,5.971500001539062,114,13
previously,6.008036366371612,134,22
working,6.026115904876508,214,57
demolition,6.1069204901973935,223,60
floor,6.169810820752389,641,268
summon,6.229986558338018,154,28
cellar,6.370631120822686,253,70
determine,6.372569770575408,136,18
exit,6.608065377512992,138,15
padlocked,6.641536337009329,134,10
pipe,6.766101338690901,232,55
gas,6.896798790828245,292,80
ongoing,6.988791046684807,379,119
onsite,7.107097063411058,179,27
evidence,7.145065280165506,242,54
good,7.3314527351741265,165,15
front,7.488805870420355,527,181
class,7.577986126037371,236,45
visible,7.84883439693751,188,12
door,8.492675083113058,509,152
place,8.744276080818018,885,330
erected,8.746148074188078,319,62
operation,8.788002093153237,300,53
present,8.81558557457484,292,49
accepted,9.06116546320665,268,33
valid,9.124105227432505,650,205
worker,9.487592061174432,935,335
level,10.027327442671194,395,71
certificate,10.379696196716068,389,61
correction,10.8917408134992,384,16
enforcement,11.260267130408817,411,17
gained,11.76018143175155,483,71
action,12.063423249425513,2323,962
access,12.17768587172753,1239,405
complaint,12.721425650349635,1163,352
rca,13.205498971877251,561,24
story,13.617213517455786,1250,365
building,14.902724545058065,2507,932
unsafe,15.026751676622121,1786,570
exposure,15.745549822327717,836,114
necessary,16.791082768385444,1726,476
inspection,16.993704675434692,8292,3968
time,17.269779095658077,8381,3996
sidewalk,19.038280173557343,1404,250
shed,20.802462123447025,1478,210
observed,23.592931789205515,8571,3581
