term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,n,pct_change
log2_area_per_unit,0.21083360845525362,0.4480722849257243,0.4705348122350458,0.6380346368260912,-0.66801118092554,1.0896783978360471,lpm_agency_conv,39675,23.47068931810432
value_rank,2.3240181103280637,0.9241730305855894,2.514700205929491,0.01200699612971623,0.5113537707984745,4.136682449857653,lpm_agency_conv,39675,921.6643542432056
any_prior_viol,0.05820683423166835,0.2998889751679376,0.19409461184450866,0.846125491701442,-0.5299925971676137,0.6464062656309505,lpm_agency_conv,39675,5.993420371629088
geo_nyc_other,0.40131227451302215,0.27838045872073175,1.4415964265495167,0.14960441952977277,-0.14470055386958064,0.9473251028956249,lpm_agency_conv,39675,49.378366624104196
geo_outside_nyc,0.02016725696261491,0.5429058288479344,0.037146878686881206,0.9703723497111714,-1.0446831586049548,1.0850176725301848,lpm_agency_conv,39675,2.037199007495083
geo_unknown,-0.08762861462336578,0.3204301169691612,-0.27347184294726995,0.7845244718537581,-0.7161172494553705,0.5408600202086389,lpm_agency_conv,39675,-8.389895991662666
multi_prop_owner,-0.10636483261566318,0.3217279781874637,-0.3306048582249405,0.740984597315979,-0.7373990803039364,0.52466941507261,lpm_agency_conv,39675,-10.090343152031778
p_black,0.0013363846278371938,0.045116814689072214,0.029620544735860548,0.976369680171759,-0.08709094725991204,0.08976371651558643,ppml_n_311,459892,0.13372779876870133
p_hispanic,0.028813962147027826,0.0404904570412211,0.7116235343477086,0.47669792962085156,-0.050545875371331796,0.10817379966538745,ppml_n_311,459892,2.9233100346908403
p_asian,0.33725197356748793,0.041037596189874195,8.21812203636584,2.220446049250313e-16,0.25681976302323634,0.4176841841117395,ppml_n_311,459892,40.10920574282171
owner_occ_star,-0.09451594184480464,0.019878515437190148,-4.754678091703843,1.987628635458094e-06,-0.13347711616782082,-0.05555476752178845,ppml_n_311,459892,-9.018676959090211
era_pre1940,0.33448351815098043,0.036278819836057734,9.21980151676641,0.0,0.2633783378706899,0.40558869843127093,ppml_n_311,459892,39.7218560808138
era_4079,0.130897872157236,0.03786578494510596,3.456890497503186,0.0005464468487736962,0.05668229741848932,0.20511344689598268,ppml_n_311,459892,13.9851364806449
era_8099,0.002022936334393675,0.08685542759582536,0.023290845378221427,0.9814182740644715,-0.1682105736152504,0.17225644628403777,ppml_n_311,459892,0.20249838505324025
era_unknown,0.9115966978583807,0.19521307131095683,4.669752346687325,3.0156305852457876e-06,0.5289861087774559,1.2942072869393055,ppml_n_311,459892,148.8292414360209
mixed_use,0.184850419458105,0.041792073817590175,4.423097553495944,9.729578189787702e-06,0.10293945993638887,0.2667613789798211,ppml_n_311,459892,20.303847552134012
mzone,-0.11821147272444077,0.07990671140834683,-1.4793685116178203,0.13904185112072054,-0.2748257492078364,0.03840280375895491,ppml_n_311,459892,-11.14918624906689
multi_bldg,0.025501501513679293,0.018347566648840415,1.3899119159374203,0.1645556267402788,-0.010459068321996178,0.06146207134935476,ppml_n_311,459892,2.582944656623476
log2_area_per_unit,0.17936351318802166,0.024444670372425627,7.337530449596468,2.1760371282653068e-13,0.1314528396441141,0.2272741867319292,ppml_n_311,459892,19.64555925133018
value_rank,-0.018629625804164197,0.06079845408445768,-0.3064161101577518,0.7592878437746484,-0.1377924061254134,0.10053315451708503,ppml_n_311,459892,-1.8457166933980695
any_prior_viol,0.5952841820226725,0.02152201376761621,27.65931610537235,0.0,0.5531018101633696,0.6374665538819755,ppml_n_311,459892,81.35462489778642
geo_nyc_other,0.07112023723900927,0.016373669232611732,4.343573589318503,1.40183489591994e-05,0.039028435248318685,0.10321203922969986,ppml_n_311,459892,7.371031807149753
geo_outside_nyc,0.10678988759874154,0.030774961306347416,3.47002508096463,0.0005204097669904151,0.04647207181268686,0.16710770338479622,ppml_n_311,459892,11.270043775543105
geo_unknown,-0.45648656242781466,0.01958797118197636,-23.304433021008595,0.0,-0.4948782804746968,-0.41809484438093253,ppml_n_311,459892,-36.649447788748546
multi_prop_owner,0.17590425913262417,0.021736039073161167,8.092746730006759,6.661338147750939e-16,0.1333024053826729,0.21850611288257543,ppml_n_311,459892,19.232389906159852
