word,z,n_strict,n_lenient
floor commercial,-2.974773010758082,21,30
general wiring,-2.9257156098834907,27,35
license record,-2.8903414176583486,0,88
superceded job,-2.8903414176583486,0,88
conform plan,-2.875125815402864,38,44
office issued,-2.873869795423828,0,87
work approved,-2.8357388471194946,21,29
observed throughout,-2.812477279222719,28,35
done hazardou,-2.807017458240316,0,83
observred construction,-2.790054233405159,0,82
fully rescind,-2.7663748866938236,59,60
observed minor,-2.75668389739509,38,43
inspection active,-2.752791703466056,135,117
stop work order rescinded,-2.7430632887473423,24,31
reinstatement lmp,-2.721144636223943,0,78
per reinstatement,-2.721144636223943,0,78
per plan,-2.717786601930302,47,50
continue use,-2.703642962692067,0,77
swo bis,-2.703642962692067,0,77
activity site,-2.6958934147434475,46,49
paid site,-2.68602731054014,0,76
closed site,-2.681457866778148,73,70
guard rail,-2.651609817337625,44,47
observe close,-2.6504449652520794,0,74
bis property,-2.6504449652520794,0,74
provided okay,-2.6143786133258673,0,72
store front,-2.61045191332797,31,36
property according,-2.5778079394908056,0,70
public sidewalk,-2.56802277731958,29,34
construction permit,-2.56802277731958,29,34
facade work,-2.5634706077376723,50,51
recession letter,-2.5030649029312197,0,66
performed badge,-2.5030649029312197,0,66
shift meeting,-2.482749792729772,25,30
story upon,-2.464843971641877,0,64
issued recession,-2.464843971641877,0,64
permit job,-2.4563526393527706,30,34
appear compliance,-2.443477972774573,35,38
letter completion,-2.4401572357375403,23,28
main entrance,-2.4307982699542405,58,56
borough commissioner',-2.426021211738133,0,62
inspection recommend,-2.406375061073696,0,61
unable gain,-2.4011761193764007,129,108
inactive site,-2.386593827346337,27,31
per insp,-2.38656725320193,0,60
record swo,-2.3665937290324397,0,59
partial vacate,-2.362868938314532,237,183
mbco issued,-2.346450256722741,0,58
permit needed,-2.315844598841888,24,28
bc' office,-2.305635612892064,0,56
work allowed,-2.2730586273525133,102,87
cse audit,-2.265108033042185,38,39
police matter,-2.2640855925779877,0,54
activity related,-2.2640855925779877,0,54
letter received,-2.2430220737097413,0,53
okay lift,-2.2430220737097413,0,53
observed building,-2.227235161178899,78,69
project information,-2.214873185688574,85,74
permit work,-2.209992744244543,31,33
front porch,-2.207268813289884,45,44
inspection pop,-2.2002903995999716,0,51
progress time,-2.193084652465431,40,40
exposure one,-2.1830344977874447,30,32
work exposure,-2.16690736357192,24,27
car parked,-2.1557677676212763,29,31
obstruction egress,-2.1557677676212763,29,31
construction fence,-2.151801769838309,852,585
inspection work,-2.1176616372515102,70,62
expire expire,-2.10027286091561,27,29
approved drawing,-2.0703682258485205,72,63
observed permit,-2.065150284467771,90,76
document site,-1.934522054643491,44,41
progress permit,-1.899186896489397,30,30
special inspection,-1.8848066448981349,34,33
building occupied,-1.8491910831678375,53,47
repair work,-1.8183430800241736,52,46
conforming approved,-1.7680169455021348,26,26
work taking,-1.7542870043596677,61,52
water leak,-1.6834585241812052,28,27
location given,-1.6791190876458246,55,47
specific location,-1.6611185861194806,72,59
work ongoing,-1.6139465886425333,42,37
issued permit,-1.5780438621438873,86,68
observed two,-1.566953033104153,29,27
building currently,-1.5668533071699766,33,30
ahv permit,-1.5429673907541914,40,35
construction taking,-1.5289309022424307,28,26
mean method,-1.4501128684213223,26,24
two story,-1.4407687926163453,48,40
violation permit,-1.3947530853535675,57,46
entire building,-1.3727389639198428,53,43
debri falling,-1.361722976060649,66,52
site action,-1.3526370804835222,35,30
side building,-1.3116022181114952,71,55
condition resolved,-1.2689418563336237,40,33
continued work,-1.262029041918376,50,40
scaffold exposure,-1.236790588178542,46,37
exterior work,-1.2200541133048153,84,63
cmu wall,-1.2055332555637552,35,29
work site,-1.1972434402839105,45,36
observed vacant,-1.1839398421005083,31,26
previou violation,-1.1389492546252131,30,25
stop work,-1.0949988227976508,49,38
due fire,-1.0740580440498249,58,44
maintained per,-1.0561497319267734,73,54
special inspector,-1.044979466743745,28,23
new work,-1.044979466743745,28,23
unsafe violating,-1.0304689427853366,41,32
stop work order issued,-1.017399953910856,84,61
ecb summon,-0.9600425752771701,103,73
cmu block,-0.9508585527082896,36,28
site locked,-0.9507541470739655,61,45
observed illegal,-0.9490943444400096,64,47
scope work,-0.9486880547919172,123,86
compliant due,-0.9278043621821981,29,23
observed construction,-0.918515481117236,777,501
active site,-0.9110680881818966,75,54
inspection site,-0.9005257829896214,130,90
intent revoke,-0.8788287936173913,47,35
hunter green,-0.8765009799770289,28,22
see complaint,-0.873744626243833,109,76
construction site,-0.8609740094402157,227,152
provided adequate,-0.8417830778543299,40,30
per approved,-0.8417830778543299,40,30
rear property,-0.8417479915880143,79,56
shed parapet,-0.7985739706359444,36,27
work covered,-0.7985739706359444,36,27
structural work,-0.7985739706359444,36,27
construction material,-0.7967273813129349,69,49
adjoining property,-0.7882544289985288,48,35
structural stability,-0.7436730041905809,41,30
observed roof,-0.7436730041905809,41,30
observed story,-0.6968695894040997,140,94
necessary time,-0.6952347513000895,37,27
inspection building,-0.6436310828652557,36,26
observed front,-0.5958855516181086,81,55
family dwelling,-0.5375820112421479,57,39
new electrical,-0.49308216873646477,39,27
corrected full,-0.4791110389274535,33,23
fall protection,-0.4791110389274535,33,23
full vacate,-0.45466205154333916,113,74
pre shift,-0.4452791237739399,110,72
condition nan,-0.42975864486450244,35,24
supported scaffolding,-0.4206096242326466,32,22
unlawfully continued,-0.4050431482902765,43,29
violation warrented,-0.3717114711676201,34,23
dob violation,-0.36332692700150293,172,110
work done,-0.32782102658450757,112,72
ecb violation,-0.3263061497648779,710,443
active permit,-0.28743952483387,540,337
commercial vehicle,-0.28182856501477754,38,25
non compliant,-0.24381865464976799,75,48
ground floor,-0.23039562910849187,88,56
notice stop work order,-0.22302805954896576,37,24
neighboring property,-0.218236453297985,45,29
ongoing construction,-0.21462102045600706,201,126
active work,-0.19791258420870733,161,101
shed installed,-0.18146734966609343,47,30
observed debri,-0.13138912945984976,54,34
protection plan,-0.10601055836583441,43,27
tenant protection,-0.10601055836583441,43,27
building fully,-0.09954891332396712,35,22
interior exterior,-0.07507579554719462,32,20
foundation wall,-0.0602295504039223,37,23
required permit,-0.058178327966359286,63,39
vacate issued,-0.04793317014255714,55,34
sws place,-0.003573687107002646,49,30
full demolition,0.018999711181928405,64,39
posted site,0.020744304398632604,46,28
conform approved,0.07053707506032748,91,55
fence installed,0.10280392313299509,32,19
info panel,0.10798641337712492,42,25
observed evidence,0.14083621343592892,49,29
however observed,0.17105572473535358,41,24
variou location,0.19947775848498595,48,28
scaffold erected,0.23131562276019316,45,26
jobsite closed,0.2657714684838372,42,24
third floor,0.2736658137155105,37,21
shaking vibrating,0.3220955461436191,100,58
site safety,0.3270956401255605,232,137
storage zone,0.34313984361403177,70,40
observed floor,0.3638147724361052,55,31
expired fence,0.39819207474459567,52,29
parking garage,0.4258639800005568,42,23
