outcome,spec,term,term_label,fe,baseline_rate,estimate,std_error,ci_lo,ci_hi,p,n,cluster,min_inspector_cases
viol100,hit_inspector_fe,tract_black10,Tract Black share (+10 pp),complaint_category + size_bin + comm_bin + borocode + inspector_badge,27.709835856049956,0.4390892466500543,0.06432295339611122,0.31294860452713413,0.5652298887729744,1.1251000131551336e-11,273834,bct2020,30
viol100,hit_inspector_fe_controls,tract_black10,Tract Black share (+10 pp),complaint_category + size_bin + comm_bin + borocode + inspector_badge,27.709835856049956,0.4609283181688243,0.06668761080029563,0.33015046043909446,0.5917061758985541,6.261213769676033e-12,273834,bct2020,30
noaccess100,noaccess_base,tract_black10,Tract Black share (+10 pp),complaint_category + size_bin + comm_bin + borocode,29.632960715426382,-0.18969060655788653,0.05340946934062304,-0.29442934136974164,-0.08495187174603144,0.00039096938733185205,391363,bct2020,30
noaccess100,noaccess_controls,tract_black10,Tract Black share (+10 pp),complaint_category + size_bin + comm_bin + borocode,29.632960715426382,-0.2095165290452158,0.05199556223409945,-0.31148251881191213,-0.10755053927851949,5.78087587002063e-05,391363,bct2020,30
viol100,hit_base,tract_hispanic10,Tract Hispanic share (+10 pp),complaint_category + size_bin + comm_bin + borocode,27.709835856049956,0.050005882128411346,0.09100098432999149,-0.12845175999062888,0.22846352424745156,0.5827122559167888,273834,bct2020,30
viol100,hit_inspector_fe,tract_hispanic10,Tract Hispanic share (+10 pp),complaint_category + size_bin + comm_bin + borocode + inspector_badge,27.709835856049956,0.2699529045489106,0.08253749519243252,0.10809260285106734,0.4318132062467538,0.0010896358362948444,273834,bct2020,30
viol100,hit_inspector_fe_controls,tract_hispanic10,Tract Hispanic share (+10 pp),complaint_category + size_bin + comm_bin + borocode + inspector_badge,27.709835856049956,0.21571614214340729,0.08101096108827821,0.05684945286467605,0.37458283142213855,0.00780623286071247,273834,bct2020,30
noaccess100,noaccess_base,tract_hispanic10,Tract Hispanic share (+10 pp),complaint_category + size_bin + comm_bin + borocode,29.632960715426382,0.4009766335377876,0.06838951339935674,0.26686125669020566,0.5350920103853696,5.233745437038806e-09,391363,bct2020,30
noaccess100,noaccess_controls,tract_hispanic10,Tract Hispanic share (+10 pp),complaint_category + size_bin + comm_bin + borocode,29.632960715426382,0.3319626606714504,0.06527202031782951,0.20396084917426446,0.45996447216863634,3.9723585709694476e-07,391363,bct2020,30
viol100,hit_base,tract_asian10,Tract Asian share (+10 pp),complaint_category + size_bin + comm_bin + borocode,27.709835856049956,-0.43785636344845436,0.11017946808242077,-0.653924005229321,-0.22178872166758767,7.296279046986598e-05,273834,bct2020,30
viol100,hit_inspector_fe,tract_asian10,Tract Asian share (+10 pp),complaint_category + size_bin + comm_bin + borocode + inspector_badge,27.709835856049956,-0.2886345869569326,0.0955910670032496,-0.47609361886348023,-0.101175555050385,0.002561502149535766,273834,bct2020,30
viol100,hit_inspector_fe_controls,tract_asian10,Tract Asian share (+10 pp),complaint_category + size_bin + comm_bin + borocode + inspector_badge,27.709835856049956,-0.24831684883093072,0.09382077553326454,-0.43230424750270613,-0.06432945015915531,0.008186212961960537,273834,bct2020,30
noaccess100,noaccess_base,tract_asian10,Tract Asian share (+10 pp),complaint_category + size_bin + comm_bin + borocode,29.632960715426382,0.3310938966913455,0.09331125187260375,0.14810570030023618,0.5140820930824548,0.00039595409563086825,391363,bct2020,30
noaccess100,noaccess_controls,tract_asian10,Tract Asian share (+10 pp),complaint_category + size_bin + comm_bin + borocode,29.632960715426382,0.3275906218359057,0.09044543570362322,0.15022243933836407,0.5049588043334473,0.00029904122769530694,391363,bct2020,30
