term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,scale,sample,n,label
multi_bldg,0.6612204556940565,0.14660792191901478,4.510127740977805,6.820202780977169e-06,0.37371574701438137,0.9487251643737317,tract_lpm_any,any complaint (pp),pp,universe,766400,Multiple buildings on lot
com_class,-1.934448965812889,0.6452757963129521,-2.9978638232925463,0.002749287662344946,-3.1998637360971345,-0.6690341955286434,tract_lpm_any,any complaint (pp),pp,universe,766400,Commercial/mixed building class (S/K/O)
log_bldgarea,8.497557063281626,0.7443296463044,11.41638937192954,0.0,7.037893251658927,9.957220874904325,tract_lpm_any,any complaint (pp),pp,universe,766400,Log total floor area
log2_area_per_unit,-2.0177446558222383,0.5415645446651213,-3.725769487125342,0.00019963454913818346,-3.0797770112852367,-0.9557123003592398,tract_lpm_any,any complaint (pp),pp,universe,766400,Floor area per unit (per doubling)
value_rank,-0.517466624887561,0.4204202906393823,-1.230831709146552,0.21851762551307186,-1.3419296661826234,0.3069964164075014,tract_lpm_any,any complaint (pp),pp,universe,766400,Assessed value rank within type (0-1)
any_prior_viol,10.918333373897129,0.1685454890522597,64.77974246176211,0.0,10.587808112404023,11.248858635390235,tract_lpm_any,any complaint (pp),pp,universe,766400,Any violation 2010-2019
llc,0.5302684803360523,0.019190741831347342,27.63147381149587,0.0,0.4926553175100053,0.5678816431620994,tract_ppml_ncomp,complaint count,log,universe,766382,LLC owner (vs individual)
corp_other,0.24231758527718988,0.025238905248443015,9.600954672633371,0.0,0.19285023998102263,0.29178493057335714,tract_ppml_ncomp,complaint count,log,universe,766382,Corporate/org owner (vs individual)
trust_estate,-0.40604663687928766,0.022485131044782558,-18.058450985701796,0.0,-0.450116683914725,-0.36197658984385034,tract_ppml_ncomp,complaint count,log,universe,766382,Trust/estate owner (vs individual)
nycha,-0.09921016678700831,0.06682153027775474,-1.484703603383892,0.13762235677478918,-0.2301779595232604,0.03175762594924378,tract_ppml_ncomp,complaint count,log,universe,766382,NYCHA
govt,0.272036115955576,0.06835965573590846,3.979483410602942,6.906517902649512e-05,0.13805365271763842,0.40601857919351353,tract_ppml_ncomp,complaint count,log,universe,766382,Other government owner
