term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,n
multi_prop_owner,0.15348659984907875,0.049346878495663514,3.110360868369147,0.001868589022161471,0.056768495248104164,0.25020470445005333,citations_conversion,377242
p_black,-0.2412269909278301,0.07244945057329413,-3.3295903422178563,0.0008697384371592065,-0.3832253047512014,-0.09922867710445879,citations_constr,447012
p_hispanic,-0.0474941004397063,0.06165754257774732,-0.7702885722345879,0.4411287336817664,-0.168340663267336,0.0733524623879234,citations_constr,447012
p_asian,0.07789236969763746,0.051968700630353123,1.4988323501038858,0.1339171299155093,-0.023964411861198687,0.17974915125647362,citations_constr,447012
owner_occ_star,-0.0782189102279259,0.03601435865628517,-2.1718812480997842,0.029864621231048938,-0.1488057561205532,-0.007632064335298616,citations_constr,447012
era_pre1940,0.3516026147184379,0.06330645850072834,5.553977004011252,2.7924223378050783e-08,0.22752423606823077,0.475680993368645,citations_constr,447012
era_4079,0.038357911099009386,0.06482355040488245,0.5917280195149617,0.5540327305503041,-0.0886939130445771,0.16540973524259586,citations_constr,447012
era_8099,-0.48227124074843264,0.08672175366297298,-5.5611333993854055,2.6802821517790676e-08,-0.6522427546040143,-0.312299726892851,citations_constr,447012
era_unknown,1.2541126354693577,0.27396851347649714,4.577579443547785,4.703871727462783e-06,0.7171442161574467,1.7910810547812686,citations_constr,447012
com_class,0.24370597750088902,0.1295999044412345,1.8804487437827897,0.0600469457115651,-0.010305167603763266,0.4977171226055413,citations_constr,447012
log_bldgarea,0.7571580790380903,0.20538060645901593,3.6866094228287447,0.00022726174786846798,0.3546194872554246,1.1596966708207561,citations_constr,447012
mzone,0.07743649367597176,0.15068705046102385,0.5138895043672064,0.6073292459296284,-0.21790469816420477,0.3727776855161483,citations_constr,447012
multi_bldg,0.05266352196555319,0.030655500227538882,1.7179142918778325,0.0858122495858975,-0.007420154408482461,0.11274719833958885,citations_constr,447012
log2_area_per_unit,0.09690014309355607,0.14878833749479733,0.6512616830398039,0.5148775784185129,-0.1947196397158373,0.3885199259029495,citations_constr,447012
value_rank,-0.3712986791641854,0.10633275599216163,-3.4918560673021197,0.0004796766525889673,-0.5797070512857079,-0.16289030704266294,citations_constr,447012
any_prior_viol,0.6009564463970732,0.03153650463542493,19.055898976261922,0.0,0.53914603311336,0.6627668596807865,citations_constr,447012
geo_nyc_other,0.07822063994932903,0.028500082122500752,2.7445759493995987,0.006058913261780985,0.02236150543279368,0.1340797744658644,citations_constr,447012
geo_outside_nyc,0.011156983224777367,0.06172003988799072,0.18076759582503538,0.8565499988307312,-0.10981207208006001,0.13212603852961474,citations_constr,447012
geo_unknown,-0.5599043123509073,0.03533678757949464,-15.844799448487802,0.0,-0.6291631433360592,-0.4906454813657555,citations_constr,447012
multi_prop_owner,0.21454156459641374,0.03510387775909312,6.11162009133991,9.862475280897343e-10,0.1457392284708946,0.2833439007219329,citations_constr,447012
p_black,0.046673150488084514,0.17034981637468827,0.2739841549663069,0.7840967984142329,-0.28720635437931613,0.38055265535548516,citations_boiler,291039
p_hispanic,0.10815587574916141,0.16567706209823377,0.6528114053895602,0.5138778698280133,-0.21656519902778287,0.4328769505261057,citations_boiler,291039
p_asian,0.3526744160164147,0.17785110998129647,1.9829756252491386,0.04737015227205821,0.004092645842601439,0.701256186190228,citations_boiler,291039
owner_occ_star,-0.11182297243733642,0.07947805384755904,-1.4069666659404592,0.15943727346711967,-0.26759709553988725,0.04395115066521442,citations_boiler,291039
era_pre1940,0.4405355359972135,0.18454648185084097,2.3871250840385825,0.01698071268125112,0.07883107809599038,0.8022399938984366,citations_boiler,291039
era_4079,0.33731632516029375,0.17839671778566485,1.890821363460079,0.058648194373312146,-0.012334816659765546,0.686967466980353,citations_boiler,291039
era_8099,-0.20017161362468247,0.2732314611796246,-0.732608217078955,0.46379741794107376,-0.7356954369800007,0.33535220973063573,citations_boiler,291039
era_unknown,0.8414523246237082,1.006808857391744,0.8357617421082179,0.403288953194616,-1.1318567751800337,2.8147614244274504,citations_boiler,291039
com_class,0.843654940239144,0.15659521096558746,5.387488768251931,7.144893920951745e-08,0.5367339665951407,1.1505759138831473,citations_boiler,291039
log_bldgarea,1.2982337592947757,0.2733937009541461,4.748586945360957,2.048428226597565e-06,0.7623919518245353,1.8340755667650162,citations_boiler,291039
mzone,-0.07212367615261404,0.2581628840365495,-0.2793727550022377,0.7799587773739447,-0.5781136310092417,0.4338662787040136,citations_boiler,291039
multi_bldg,0.06212733080486862,0.07574982809262076,0.8201646441877642,0.4121222543481913,-0.08633960409176852,0.21059426570150577,citations_boiler,291039
log2_area_per_unit,-0.7770146829141312,0.1892529766075759,-4.105693325634208,4.031039871965625e-05,-1.1479437010319815,-0.40608566479628105,citations_boiler,291039
value_rank,-0.27479914160398283,0.18182380684800678,-1.5113485212291125,0.13069967774597457,-0.6311672545580435,0.08156897135007779,citations_boiler,291039
any_prior_viol,0.8885656876946789,0.0670024963071069,13.261680335340422,0.0,0.7572432080584715,1.0198881673308864,citations_boiler,291039
geo_nyc_other,0.07591737440894103,0.0677241522075469,1.1209793247213378,0.26229666317453804,-0.05681952480135974,0.2086542736192418,citations_boiler,291039
geo_outside_nyc,0.005617294601673107,0.11907403135898915,0.047174808289960915,0.9623739052346629,-0.2277635183559387,0.23899810755928488,citations_boiler,291039
geo_unknown,-0.3412841481141389,0.07381876419881998,-4.623270950390611,3.777358000833786e-06,-0.4859662673270808,-0.19660202890119693,citations_boiler,291039
multi_prop_owner,0.1642437950052501,0.08312296283755152,1.9759136272155537,0.04816456051994056,0.001325781555387734,0.32716180845511245,citations_boiler,291039
p_black,0.0003331645367401901,0.07298158486333778,0.004565049352710823,0.9963576302531407,-0.14270811333005545,0.1433744424035358,citations_other,445585
p_hispanic,-0.005590695765272203,0.06201660418394266,-0.09014836976062204,0.928169312153285,-0.1271410064092759,0.11595961487873148,citations_other,445585
p_asian,0.04075943023179228,0.04875680434553382,0.835974194349058,0.40316942070300366,-0.05480215028672003,0.1363210107503046,citations_other,445585
owner_occ_star,-0.1646218077464109,0.03611726022979993,-4.557981604888827,5.164755966902135e-06,-0.23541033701707959,-0.09383327847574217,citations_other,445585
era_pre1940,0.29917059555227077,0.06165563107660707,4.852283405883099,1.220480446040284e-06,0.17832777919803236,0.4200134119065092,citations_other,445585
era_4079,-0.05507745665682248,0.06845053082699928,-0.8046315491113475,0.42103233068818113,-0.18923803180038984,0.07908311848674487,citations_other,445585
era_8099,-0.23861971649090954,0.1377376443620845,-1.7324219358915884,0.08319846513842388,-0.5085805387559816,0.031341105774162575,citations_other,445585
era_unknown,0.8000543234245527,0.4150897484224746,1.9274249158528114,0.05392669699194741,-0.013506633835289383,1.6136152806843949,citations_other,445585
com_class,0.31735243552260534,0.10878072924620416,2.917358963501149,0.0035300925345223,0.10414612398804218,0.5305587470571684,citations_other,445585
log_bldgarea,0.7919257892352851,0.17708755810228263,4.47194482617397,7.751142822698398e-06,0.4448405532446668,1.1390110252259034,citations_other,445585
mzone,-0.07997201935555141,0.15770157476242608,-0.5071098337225071,0.61207775552089,-0.3890614261951573,0.22911738748405447,citations_other,445585
multi_bldg,-0.09191060397505553,0.033661100177157496,-2.730469399138246,0.006324420425174226,-0.15788514800227907,-0.02593605994783199,citations_other,445585
log2_area_per_unit,-0.2814546133131492,0.11894728164688839,-2.3662130770561576,0.017971098078284564,-0.5145870013999927,-0.04832222522630572,citations_other,445585
value_rank,-0.1604007294397055,0.12745434303183778,-1.2584955963378806,0.2082125787988356,-0.4102066514553212,0.08940519257591023,citations_other,445585
any_prior_viol,0.9192175315326218,0.03285002085187041,27.98225108220239,0.0,0.8548326737715659,0.9836023892936776,citations_other,445585
geo_nyc_other,0.05587956548436732,0.029925547790823345,1.8672863024917714,0.06186161718706962,-0.002773430403278626,0.11453256137201327,citations_other,445585
geo_outside_nyc,0.08633233422353682,0.06185035996989501,1.3958258976270816,0.16276692969538398,-0.03489214374829529,0.20755681219536892,citations_other,445585
geo_unknown,-0.31425530313159483,0.0309690984609552,-10.147382996240506,0.0,-0.37495362074874183,-0.25355698551444783,citations_other,445585
multi_prop_owner,0.24973771525877034,0.03820854532142661,6.536174386066519,6.311240419165642e-11,0.1748503425271078,0.3246250879904329,citations_other,445585
