bct2020,boroname,ntaname,panel_lots,scored_lots,n_disc_events,disc_per_1000,n_highrisk,n_hr_never_swept,hr_never_swept_per_1000,ok_a,ok_b,window
4009700,Queens,Astoria (North)-Ditmars-Steinway,606.0,606.0,29.0,47.85478547854786,36.0,36.0,59.4059405940594,True,True,2020-01..2026-05
4009800,Queens,South Ozone Park,391.0,391.0,13.0,33.24808184143223,31.0,29.0,74.16879795396419,True,True,2020-01..2026-05
4010000,Queens,South Ozone Park,599.0,599.0,37.0,61.76961602671119,12.0,10.0,16.69449081803005,True,True,2020-01..2026-05
4010100,Queens,Astoria (North)-Ditmars-Steinway,470.0,470.0,22.0,46.80851063829787,14.0,14.0,29.787234042553195,True,True,2020-01..2026-05
4010200,Queens,South Ozone Park,491.0,491.0,11.0,22.40325865580448,9.0,9.0,18.329938900203665,True,True,2020-01..2026-05
4010400,Queens,South Ozone Park,547.0,547.0,31.0,56.672760511883,17.0,16.0,29.250457038391225,True,True,2020-01..2026-05
4010800,Queens,South Richmond Hill,435.0,435.0,35.0,80.45977011494253,20.0,18.0,41.37931034482759,True,True,2020-01..2026-05
4011100,Queens,Astoria (North)-Ditmars-Steinway,420.0,420.0,18.0,42.857142857142854,20.0,20.0,47.61904761904761,True,True,2020-01..2026-05
4011200,Queens,Ozone Park (North),355.0,355.0,25.0,70.42253521126761,17.0,17.0,47.88732394366197,True,True,2020-01..2026-05
4011300,Queens,Astoria (North)-Ditmars-Steinway,381.0,381.0,39.0,102.36220472440945,23.0,22.0,57.74278215223097,True,True,2020-01..2026-05
4011400,Queens,Ozone Park (North),180.0,180.0,13.0,72.22222222222221,10.0,10.0,55.55555555555555,False,False,2020-01..2026-05
4011500,Queens,Astoria (North)-Ditmars-Steinway,314.0,314.0,50.0,159.2356687898089,56.0,51.0,162.42038216560508,True,True,2020-01..2026-05
4011700,Queens,Astoria (North)-Ditmars-Steinway,610.0,610.0,29.0,47.540983606557376,59.0,57.0,93.44262295081968,True,True,2020-01..2026-05
4011900,Queens,Astoria (North)-Ditmars-Steinway,219.0,219.0,7.0,31.963470319634702,36.0,36.0,164.3835616438356,True,True,2020-01..2026-05
4012000,Queens,South Richmond Hill,320.0,320.0,27.0,84.375,17.0,17.0,53.125,True,True,2020-01..2026-05
4012100,Queens,Astoria (North)-Ditmars-Steinway,378.0,378.0,12.0,31.746031746031743,20.0,20.0,52.910052910052904,True,True,2020-01..2026-05
4012200,Queens,Richmond Hill,392.0,392.0,18.0,45.91836734693878,33.0,33.0,84.18367346938776,True,True,2020-01..2026-05
4012400,Queens,Richmond Hill,358.0,358.0,22.0,61.452513966480446,24.0,24.0,67.0391061452514,True,True,2020-01..2026-05
4012601,Queens,Richmond Hill,362.0,362.0,20.0,55.248618784530386,21.0,20.0,55.248618784530386,True,True,2020-01..2026-05
4012602,Queens,Richmond Hill,407.0,407.0,20.0,49.140049140049136,20.0,20.0,49.140049140049136,True,True,2020-01..2026-05
4012800,Queens,Richmond Hill,317.0,317.0,16.0,50.473186119873816,20.0,19.0,59.93690851735016,True,True,2020-01..2026-05
4014000,Queens,Kew Gardens,409.0,409.0,14.0,34.229828850855746,29.0,28.0,68.45965770171149,True,True,2020-01..2026-05
4014201,Queens,Richmond Hill,489.0,489.0,31.0,63.394683026584865,39.0,37.0,75.66462167689161,True,True,2020-01..2026-05
4014300,Queens,Astoria (East)-Woodside (North),345.0,345.0,30.0,86.95652173913044,83.0,79.0,228.9855072463768,True,True,2020-01..2026-05
4014500,Queens,Astoria (East)-Woodside (North),377.0,377.0,16.0,42.44031830238727,21.0,21.0,55.70291777188329,True,True,2020-01..2026-05
4014700,Queens,Astoria (East)-Woodside (North),380.0,380.0,25.0,65.78947368421052,50.0,49.0,128.94736842105263,True,True,2020-01..2026-05
4014800,Queens,South Richmond Hill,323.0,323.0,32.0,99.07120743034056,5.0,5.0,15.479876160990711,True,True,2020-01..2026-05
4014900,Queens,Astoria (East)-Woodside (North),255.0,255.0,25.0,98.0392156862745,66.0,65.0,254.9019607843137,True,True,2020-01..2026-05
4015000,Queens,South Richmond Hill,376.0,376.0,19.0,50.53191489361702,4.0,4.0,10.638297872340425,True,True,2020-01..2026-05
4015100,Queens,Astoria (East)-Woodside (North),322.0,322.0,5.0,15.527950310559007,37.0,37.0,114.90683229813664,True,True,2020-01..2026-05
4015200,Queens,South Richmond Hill,406.0,406.0,26.0,64.03940886699507,21.0,21.0,51.724137931034484,True,True,2020-01..2026-05
4015300,Queens,Astoria (East)-Woodside (North),288.0,288.0,10.0,34.72222222222222,36.0,35.0,121.52777777777777,True,True,2020-01..2026-05
4015400,Queens,South Richmond Hill,310.0,310.0,59.0,190.32258064516128,20.0,19.0,61.29032258064516,True,True,2020-01..2026-05
4015600,Queens,South Richmond Hill,492.0,492.0,19.0,38.61788617886179,23.0,23.0,46.74796747967479,True,True,2020-01..2026-05
4015700,Queens,Astoria (East)-Woodside (North),49.0,49.0,17.0,346.9387755102041,25.0,24.0,489.7959183673469,False,False,2020-01..2026-05
4015801,Queens,South Ozone Park,619.0,619.0,56.0,90.46849757673667,19.0,19.0,30.694668820678512,True,True,2020-01..2026-05
4015802,Queens,South Ozone Park,702.0,702.0,57.0,81.1965811965812,33.0,31.0,44.159544159544154,True,True,2020-01..2026-05
4016100,Queens,Astoria (East)-Woodside (North),233.0,233.0,14.0,60.08583690987125,36.0,36.0,154.50643776824035,True,True,2020-01..2026-05
4016400,Queens,South Ozone Park,590.0,590.0,13.0,22.033898305084744,3.0,3.0,5.084745762711864,True,True,2020-01..2026-05
4016800,Queens,South Ozone Park,532.0,532.0,14.0,26.31578947368421,1.0,1.0,1.8796992481203008,True,True,2020-01..2026-05
4016900,Queens,Sunnyside,480.0,480.0,20.0,41.666666666666664,23.0,20.0,41.666666666666664,True,True,2020-01..2026-05
4017000,Queens,South Ozone Park,475.0,475.0,34.0,71.57894736842104,8.0,7.0,14.736842105263158,True,True,2020-01..2026-05
4017200,Queens,South Ozone Park,435.0,435.0,11.0,25.28735632183908,5.0,5.0,11.494252873563218,True,True,2020-01..2026-05
4017400,Queens,South Ozone Park,497.0,497.0,13.0,26.156941649899398,0.0,0.0,0.0,True,True,2020-01..2026-05
4017600,Queens,South Ozone Park,434.0,434.0,18.0,41.474654377880185,1.0,1.0,2.304147465437788,True,True,2020-01..2026-05
4017800,Queens,South Ozone Park,406.0,406.0,30.0,73.89162561576356,1.0,1.0,2.4630541871921183,True,True,2020-01..2026-05
4017901,Queens,Sunnyside,54.0,54.0,25.0,462.962962962963,9.0,8.0,148.14814814814815,False,False,2020-01..2026-05
4018000,Queens,South Ozone Park,228.0,228.0,14.0,61.40350877192982,4.0,4.0,17.543859649122805,True,True,2020-01..2026-05
4018101,Queens,Sunnyside,135.0,135.0,13.0,96.29629629629629,60.0,59.0,437.03703703703707,False,False,2020-01..2026-05
4018102,Queens,Sunnyside,94.0,94.0,17.0,180.85106382978725,50.0,48.0,510.6382978723404,False,False,2020-01..2026-05
4018200,Queens,Baisley Park,549.0,549.0,11.0,20.036429872495447,3.0,3.0,5.46448087431694,True,True,2020-01..2026-05
4018300,Queens,Sunnyside,361.0,361.0,32.0,88.6426592797784,48.0,43.0,119.11357340720221,True,True,2020-01..2026-05
4018401,Queens,Baisley Park,346.0,346.0,15.0,43.35260115606936,5.0,5.0,14.45086705202312,True,True,2020-01..2026-05
4018402,Queens,Baisley Park,488.0,488.0,13.0,26.63934426229508,5.0,5.0,10.245901639344261,True,True,2020-01..2026-05
4018501,Queens,Sunnyside,177.0,177.0,10.0,56.497175141242934,23.0,22.0,124.29378531073446,False,False,2020-01..2026-05
4018502,Queens,Sunnyside,138.0,138.0,17.0,123.18840579710145,62.0,59.0,427.536231884058,False,False,2020-01..2026-05
4018600,Queens,Baisley Park,386.0,386.0,19.0,49.222797927461144,0.0,0.0,0.0,True,True,2020-01..2026-05
4018700,Queens,Sunnyside,447.0,447.0,19.0,42.50559284116331,20.0,19.0,42.50559284116331,True,True,2020-01..2026-05
