word,z,n_asian,n_white
severe,0.2646289552669911,31,9
rat,0.26552868489034037,57,17
heat,0.2673954284126909,86,26
front,0.2771309185384357,634,199
thebasement,0.28671485235541533,195,60
saw,0.29019763308001584,80,24
immediately,0.3011866738952878,38,11
bath,0.30242257647799536,77,23
need,0.31119040094072953,345,107
observed,0.3186897784450443,164,50
ventilation,0.3206502407273264,116,35
adult,0.3263243613461769,145,44
charging,0.32890279223399665,58,17
empty,0.3339092357475876,45,13
walking,0.3339092357475876,45,13
coming,0.3339424778772298,539,168
property,0.33416050582517653,1600,505
nothing,0.3353613046923716,97,29
contrary,0.3548421798285865,42,12
alarm,0.3548421798285865,42,12
entry,0.35821932219380725,65,19
asap,0.3584652965295607,91,27
area,0.3967787271545999,450,139
sometime,0.3970666211676539,82,24
seriou,0.3970666211676539,82,24
month,0.4005137634116133,539,167
today,0.4009490798176595,69,20
beenconverted,0.40345527526420116,36,10
occupy,0.40345527526420116,36,10
traffic,0.4086840996327082,92,27
bag,0.40976197840014955,56,16
matter,0.4217614036196904,89,26
sharing,0.4275889905320632,43,12
early,0.4275889905320632,43,12
hallway,0.4321294674883361,33,9
piece,0.4530340354534964,40,11
noticed,0.4652603603569417,116,34
lack,0.4738065728296429,47,13
wire,0.4812566980746474,37,10
man,0.5019164098762183,84,24
walk,0.5078543289446626,94,27
action,0.5096329611743413,117,34
porch,0.5147229572992315,71,20
moved,0.5157570192005173,179,53
fully,0.541988004007233,48,13
rent,0.542067985053239,794,245
shed,0.5427188636013887,170,50
mean,0.553073466903572,65,18
violate,0.5573888681600236,38,10
load,0.5573888681600236,38,10
variou,0.5691319458874903,45,12
permission,0.574118766325176,62,17
illegalapartment,0.5916971547421949,35,9
erected,0.5916971547421949,35,9
anapartment,0.5920574982771946,155,45
whole,0.5933059859114785,109,31
department,0.5952652653944187,191,56
frequently,0.5989393242200169,42,11
taken,0.6112110835046362,66,18
basi,0.6207705522451161,56,15
boxe,0.6207705522451161,56,15
thank,0.622361471235155,83,23
suspiciou,0.6304651823514115,32,8
conversation,0.6304651823514115,32,8
unknown,0.6304651823514115,32,8
nearby,0.631917568019775,39,10
garbage,0.6362954655423401,143,41
material,0.6375650052217213,100,28
luggage,0.6380154960789886,46,12
multi,0.6534287086733565,107,30
extended,0.6555563245817535,87,24
had,0.6603286059301348,310,92
student,0.6687204677566417,36,9
