word,z,n_asian,n_white
removed,-0.6345098904332224,102,37
enter,-0.6304543144417671,167,59
neighbor',-0.6228136670962263,33,13
numerou,-0.6207585447555679,76,28
allow,-0.6207585447555679,76,28
request,-0.6190962648231736,117,42
witnessed,-0.6066802887275635,36,14
further,-0.6066802887275635,36,14
health,-0.5973152178974306,59,22
tenant,-0.596068572081617,1256,417
putting,-0.5927054164350412,39,15
per,-0.5875402901695375,100,36
think,-0.5818398684373427,106,38
review,-0.5697692656646622,45,17
saturday,-0.5602759424115289,48,18
occupant,-0.5511591490324484,181,63
tried,-0.5484858199146198,31,12
morning,-0.542158522871488,95,34
additionally,-0.5341853207227147,34,13
friday,-0.5341853207227147,34,13
finished,-0.5341853207227147,34,13
doing,-0.5336722692522253,323,110
safe,-0.5293928130566365,113,40
across,-0.5259835100144408,63,23
etc,-0.5210282770295979,66,24
ground,-0.519706522954448,137,48
sale,-0.5124644733897104,72,26
getting,-0.502322916315267,81,29
must,-0.4943034829892276,46,17
possible,-0.4769186224667901,183,63
prevent,-0.4694237803860227,29,11
quality,-0.4663946625885916,61,22
contact,-0.4663946625885916,61,22
young,-0.45906498038691845,67,24
raise,-0.4574260988268732,32,12
renovation,-0.45597131087444687,70,25
weekend,-0.4465247440348503,82,29
posted,-0.4412116977872911,190,65
flooding,-0.43885835316520794,38,14
job,-0.43885835316520794,38,14
exterior,-0.43885835316520794,38,14
working,-0.43496761311242454,118,41
may,-0.3979746485577331,264,89
meter,-0.390039054738814,128,44
daughter,-0.37574520976613235,30,11
real,-0.37574520976613235,30,11
surrounding,-0.3683616455219149,33,12
heating,-0.3683616455219149,33,12
major,-0.3683616455219149,33,12
filled,-0.3683616455219149,33,12
operate,-0.362301901513561,36,13
hot,-0.3496939990366702,45,16
everything,-0.3496939990366702,45,16
dangerou,-0.34333623715784967,214,72
creating,-0.34163473680314904,114,39
non,-0.3385347613340099,63,22
soon,-0.3364265516412428,75,26
hour,-0.31839373672725213,163,55
installed,-0.302972252047544,261,87
already,-0.29224934267929153,109,37
long,-0.29088474060111114,106,36
parked,-0.2849728301011511,173,58
thereare,-0.28427697602431123,31,11
bringing,-0.28427697602431123,31,11
following,-0.28427697602431123,31,11
don,-0.27892165491990234,37,13
looking,-0.27892165491990234,37,13
investigated,-0.27889203087761855,76,26
section,-0.27723281814503026,40,14
alway,-0.27580079315552924,158,53
almost,-0.2751851764432347,61,21
neighbor,-0.27487900967528023,933,305
police,-0.27455060136527165,52,18
come,-0.24980647497922773,481,158
supposed,-0.2385797224272833,162,54
emergency,-0.224004112921899,80,27
seen,-0.2193564181825345,187,62
appear,-0.2175959135744882,230,76
constant,-0.21566990413214016,68,23
boiler,-0.20585653174136162,215,71
looked,-0.20193978044330194,47,16
that',-0.20193978044330194,47,16
less,-0.20193978044330194,47,16
charge,-0.19861908482227003,41,14
appropriate,-0.19716999872893998,38,13
next,-0.18748242108088076,234,77
life,-0.17776534429237573,90,30
stated,-0.1758324422678458,259,85
white,-0.1414472333167293,57,19
restaurant,-0.13379183394522431,51,17
closet,-0.11699082467871129,39,13
didn't,-0.1123995298042546,36,12
loud,-0.11237612149707901,156,51
live,-0.1101797636834297,1027,332
dining,-0.10761280689208534,33,11
center,-0.10761280689208534,33,11
sleeping,-0.10527432432849511,76,25
adjacent,-0.10260330782192001,30,10
remove,-0.10260330782192001,30,10
sidewalk,-0.09071034182811627,138,45
money,-0.08748187701351483,101,33
change,-0.07864772313073821,95,31
main,-0.07404850242507546,92,30
separate,-0.063919021856464,303,98
back,-0.062306516135490174,884,285
instead,-0.058763047058202775,49,16
danger,-0.058763047058202775,49,16
cannot,-0.05234876112890959,46,15
feel,-0.0488428396614874,77,25
seem,-0.045861474481200405,167,54
prior,-0.045557636895558785,43,14
immediate,-0.038330461645250204,40,13
sub,-0.030592706537590126,37,12
enforcement,-0.030592706537590126,37,12
electric,-0.007155782372325754,140,45
entering,0.0006312768874149404,81,26
provided,0.00310603583159088,53,17
old,0.004393694758173376,106,34
wall,0.009473965149267698,343,110
take,0.012187994679971415,181,58
investigation,0.01978503859449792,47,15
double,0.01978503859449792,47,15
daily,0.020648299873184364,72,23
constantly,0.023030252329306198,122,39
provide,0.02897731425653974,44,14
height,0.02897731425653974,44,14
illegal,0.034105254220911915,5238,1680
once,0.0388624198098133,41,13
system,0.04346236886557697,63,20
renter,0.05194331413902215,107,34
keep,0.054970314839431676,82,26
exposed,0.06124138174537726,35,11
outside,0.07349581473075645,214,68
basementinto,0.07410306758653941,32,10
likely,0.07410306758653941,32,10
regarding,0.07817565169471352,73,23
vacate,0.10481315560940696,64,20
ever,0.11463690518611126,42,13
such,0.11719338881003359,80,25
much,0.1250758332460585,58,18
especially,0.13614825406042197,55,17
laundry,0.1429313887553726,36,11
flood,0.14470766674597974,71,22
disturbing,0.15931918292999914,33,10
upstair,0.15980534258419699,163,51
debri,0.1890399342476269,43,13
concern,0.19784201047187153,145,45
requesting,0.202168970544739,72,22
water,0.20542912712987094,199,62
same,0.21076704982452674,158,49
site,0.2134473443526814,69,21
dog,0.21501239664766514,85,26
ceiling,0.22534539927459818,66,20
problem,0.22640890336906822,133,41
move,0.22720468579418268,98,30
constructed,0.22720468579418268,98,30
environment,0.24256231080775723,34,10
conduct,0.24256231080775723,34,10
toilet,0.24721827526832188,76,23
ago,0.26122209519681955,302,94
plan,0.2621163983270583,44,13
husband,0.2646289552669911,31,9
garden,0.2646289552669911,31,9
odor,0.2646289552669911,31,9
