term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,n,n_tracts,mean_intensity,median_intensity,window
decile_10,-4.826868683152353,1.1938492318774727,-4.043114117149882,5.454988742781275e-05,-7.168050061712787,-2.4856873045919183,lpm_fe_decile,"violation disposition per inspection (pp), vs decile 01",91440.0,,,,2020-01..2026-05
decile_num,-0.4365587740654794,0.08453350017954671,-5.1643286169180405,2.6286365240046905e-07,-0.6023320151083664,-0.2707855330225923,lpm_fe_linear,"violation disposition per inspection (pp), per decile",91440.0,,,,2020-01..2026-05
decile_num,0.11552031229161731,0.08640714286182512,1.336930124820207,0.181393064275589,-0.053934138647611776,0.2849747632308464,lpm_fe_linear__7G,"violation disposition per inspection (pp), per decile",23333.0,,,,2020-01..2026-05
decile_num,-1.9691814137061723,0.15379928485105812,-12.803579780056594,0.0,-2.270811927452886,-1.6675508999594584,lpm_fe_linear__8A,"violation disposition per inspection (pp), per decile",22624.0,,,,2020-01..2026-05
decile_num,0.12368700297915468,0.20575880053513973,0.6011261858908011,0.5478197576375132,-0.27982158864644074,0.5271955946047501,lpm_fe_linear__1X,"violation disposition per inspection (pp), per decile",21321.0,,,,2020-01..2026-05
decile_num,0.04293559416818494,0.09372870597042027,0.45808371857534164,0.6469372711738752,-0.1408698223216834,0.22674101065805327,lpm_fe_linear__excl_8A,"violation disposition per inspection (pp), per decile (8A-composition check: the pooled top-decile dip is 8A share, not crowding)",68816.0,,,,2020-01..2026-05
n_events_total,99642.0,,,,,,sample,count,,,,,2020-01..2026-05
n_dropped_no_tract,7736.0,,,,,,sample,count,,,,,2020-01..2026-05
n_dropped_pending,3.0,,,,,,sample,count,,,,,2020-01..2026-05
n_tracts_with_events,2258.0,,,,,,sample,count,,,,,2020-01..2026-05
n_tracts_no_panel_lots,43.0,,,,,,sample,count,,,,,2020-01..2026-05
n_events_dropped_no_panel_lots,461.0,,,,,,sample,count,,,,,2020-01..2026-05
n_tracts_decile,2215.0,,,,,,sample,count,,,,,2020-01..2026-05
n_tracts_zero_events,11.0,,,,,,sample,count,,,,,2020-01..2026-05
