variable,quintile,range_lo,range_hi,n_lots,caller_per100_yr,agency_per100_yr,ecb_per100_yr,dobviol_per100_yr,any_caller_share,hit_rate,noaccess_rate,n_caller_complaints
black,5,0.4688448074679113,0.9335463258785942,152086,7.277393122244062,2.8994190060954916,4.591191825677577,6.816273294450115,0.17538103441473904,0.31915047316333167,0.3056744465993446,59812
hispanic,1,0.0,0.077433628318584,152087,7.420189008358938,3.4640118407961813,4.60894093512266,7.703212250609464,0.17438702847712165,0.2659780784903358,0.27113179378037544,62962
hispanic,2,0.077433628318584,0.1320113314447592,152086,8.163050604826967,3.7173431095291094,4.944360427652775,8.410620716815895,0.18849203739989218,0.2548005612347164,0.28251959444883873,69535
hispanic,3,0.1320113314447592,0.208041958041958,152086,9.024934798510275,3.4332932956080384,4.964980340070749,8.133333993702468,0.19617190273923965,0.26285617939639183,0.2988717113472476,76133
hispanic,4,0.208041958041958,0.3591151031270791,152086,9.299352331584094,3.2935227522500514,4.840524440119406,7.84897676656287,0.21168943887011296,0.26701366551650196,0.34192431045542016,77950
hispanic,5,0.3591151031270791,0.945528967254408,152086,12.774761238130647,5.060943816647826,8.64100574674855,13.009112581722814,0.24595952290151624,0.31458994956099384,0.2848704613769741,104795
asian,1,0.0,0.0240025948751216,152087,9.516016080679728,4.0236026901553865,6.693326845818512,9.808466599645332,0.1897663837145844,0.32066628334465874,0.25240328253223915,76770
asian,2,0.0240025948751216,0.0676149649259548,152086,10.086022757800567,4.284827910934193,6.475283721052564,10.1724058722073,0.2092105782254777,0.2798237632297304,0.260762331838565,84740
asian,3,0.0676149649259548,0.1427619893428064,152086,10.0632741796294,4.54397725415439,6.191128703496706,11.001396851507973,0.209164551635259,0.25762583813391254,0.252426841752268,84987
asian,4,0.1427619893428064,0.3099601593625498,152086,9.03436213721184,3.616921458142872,5.061978091343056,9.040202988363896,0.19905842746866903,0.25736877203010383,0.3110939017667288,76186
asian,5,0.3099601593625498,0.9124087591240876,152086,7.982599045550271,2.499781822007405,3.578080822692424,5.082770155163406,0.20949988822113805,0.2646655144367629,0.42724043556746055,68692
renter,1,0.0046620046620046,0.2541751527494908,152087,3.876557667479968,1.202080251571661,1.4686330850105531,1.4110173952895553,0.11646623314287217,0.25673404959519325,0.4110008097651681,33343
renter,2,0.2541751527494908,0.4039301310043668,152086,5.328188374622629,1.7630148082655217,2.3399392449009113,3.2181040426375302,0.15368278474021277,0.2721617984067513,0.4041054320024277,46134
renter,3,0.4039301310043668,0.5764299802761341,152086,7.60960434040139,3.019412632394761,4.048130662914404,6.820167195218153,0.19542890206856647,0.2559970617266947,0.3363143301136537,65638
renter,4,0.5764299802761341,0.7572209211553473,152086,10.784260648153445,4.673090805936695,6.713359546572334,11.478604637738284,0.23895033073392685,0.2598140259264349,0.2839712683262816,91467
renter,5,0.7572209211553473,1.0,152086,19.083700250934577,8.311531189376618,13.42976999855345,22.177404411140586,0.3121720605446918,0.29803796565810775,0.22985535521632114,154793
overcrowd,1,0.0,0.0260718424101969,152087,7.249165912299513,3.4564290312644865,4.355822654138749,7.799739366539947,0.1659510674811128,0.24078019636699102,0.2623503297201834,61719
overcrowd,2,0.0260718424101969,0.0510948905109489,152086,8.48255540995175,3.77093548062605,5.033152295411806,8.331000693216808,0.18674302697158188,0.25421076312134433,0.28323448169492,71319
overcrowd,3,0.0510948905109489,0.0833333333333333,152086,9.367803008243285,3.765811926983895,5.585576581670897,9.275066687320281,0.2015570137948266,0.26995875880202425,0.29770442041358375,79065
overcrowd,4,0.0833333333333333,0.134599504541701,152086,9.855052959612221,3.5528770376159353,5.66311166050787,8.474050310905774,0.2143589811027971,0.28701216063348417,0.31133373096539385,82153
overcrowd,5,0.134599504541701,0.5547652916073968,152086,11.727711815819859,4.4230613881995335,7.362150362295019,11.225398616742988,0.24808989650592428,0.3156339084771193,0.313728518621485,97119
all,0,,,760431,9.33645507630524,3.7938225292502015,5.599961074706318,9.021049528866806,0.20333994800317187,0.27676934193660835,0.2963296071542638,391375
