word,z,n_asian,n_white
safety hazard,0.9221221510968635,58,14
illegal work,0.937113664799818,25,5
safety risk,0.937113664799818,25,5
alot people,0.937113664799818,25,5
small window,0.937113664799818,25,5
basement house,0.937113664799818,25,5
mean egress,0.952352073400309,44,10
short stay,0.9811625512883717,37,8
rented illegally,0.9811625512883717,37,8
house but,0.9877572976768051,77,19
multi family,0.9934750571781302,70,17
illegal activity,0.9950502920862657,52,12
house illegally,1.0025654651639277,63,15
side entrance,1.0174091820600564,45,10
house one,1.0190738155953438,26,5
rent room,1.0265934497947409,30,6
different people,1.026902729945139,144,38
three room,1.0375606382481033,34,7
home but,1.0463883878730487,71,17
owner renting,1.0554924081708161,89,22
illegally rented,1.0935461996186584,61,14
few year,1.098366512389163,27,5
there' family,1.1016240250675946,31,6
basement residential,1.1088874784837,35,7
landlord illegally,1.1188736904458525,39,8
basement two,1.1188736904458525,39,8
extra room,1.1491336700715444,62,14
basement door,1.1746034285773692,32,6
rooming house,1.175158482000204,28,5
conversion one,1.1784939529696374,36,7
four room,1.2456397935163586,33,6
family but,1.2464600559356016,37,7
living area,1.2507046168138392,41,8
basement converted,1.2518227306914136,150,38
living inside,1.2580979458539103,64,14
auto repair,1.3115122741808896,65,14
house basement,1.3128605570608447,38,7
basement tenant,1.314565611995045,42,8
car parked,1.314565611995045,42,8
basement cellar,1.3148332513319314,34,6
living one,1.3190071078188024,46,9
house people,1.3218358630270222,30,5
room rental,1.3218358630270222,30,5
house family,1.3336106295767536,54,11
converted family,1.3458039410834326,117,28
boiler room,1.3472799018395067,88,20
basement conversion,1.3515088877884485,77,17
conversion residential,1.3653675928321385,81,18
entire house,1.377765429833821,39,7
department building,1.3804423622586035,107,25
individual living,1.3822766755657379,35,6
living space,1.3840940028191013,282,75
see people,1.3919880287120086,31,5
family family,1.3919880287120086,31,5
room floor,1.408748772525663,27,4
multiple unit,1.408748772525663,27,4
basement space,1.408748772525663,27,4
lot noise,1.437479494645333,75,16
parking lot,1.438449985415528,44,8
multiple car,1.4793078024134902,28,4
illegal basement,1.5099769656385214,890,255
