outcome,outcome_label,spec,entry,sample,term,term_label,estimate,std_error,ci_lo,ci_hi,pct_change,pct_lo,pct_hi,p,n,fe,cluster,window
n_hpd_violations,HPD violations,direct,bivariate,all lots,tract_renter10,Tract renter share (+10 pp),0.13163703905269475,0.010110147884362913,0.11182151332096961,0.15145256478441987,14.069421666677817,11.83132388145447,16.352310853114773,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,total,bivariate,3+ units,tract_renter10,Tract renter share (+10 pp),0.18107356230440189,0.011896717764195621,0.15775642395234057,0.2043907006564632,19.850334071805765,17.08809614142197,22.677736255734505,0.0,170729,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,total,bivariate,all lots,tract_foreign10,Tract foreign-born share (+10 pp),0.13262376555868385,0.012329983784218655,0.1084574414116524,0.1567900897057153,14.182032537487954,11.455747353625911,16.97500455518517,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,direct,bivariate,all lots,tract_foreign10,Tract foreign-born share (+10 pp),0.09932794202807749,0.011145944590166105,0.07748229205767286,0.12117359199848211,10.442842867572422,8.05630977401266,12.882084962749673,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,total,bivariate,3+ units,tract_foreign10,Tract foreign-born share (+10 pp),0.13813101749916762,0.01277018602476248,0.11310191281475643,0.1631601221835788,14.812596501314745,11.974604360493423,17.72251744632665,0.0,170729,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,total,bivariate,all lots,tract_overcrowd10,Tract overcrowded-household share (+10 pp),0.1557451250013023,0.021876056698760412,0.11286884174797569,0.19862140825462893,16.852833647386788,11.948509361115578,21.972010251408157,1.0837997166390778e-12,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,direct,bivariate,all lots,tract_overcrowd10,Tract overcrowded-household share (+10 pp),0.12106637882533103,0.017256655130090507,0.08724395627672527,0.1548888013739368,12.869983164976562,9.116284327536883,16.752812636299463,2.2890578321721478e-12,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,total,bivariate,3+ units,tract_overcrowd10,Tract overcrowded-household share (+10 pp),0.1542680756081295,0.022542132337815976,0.11008630809127448,0.1984498431249845,16.68036364506964,11.637441844620987,21.951085902652,7.72581998376154e-12,170729,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,total,bivariate,all lots,tract_black10,Tract Black share (+10 pp),0.1540344976186141,0.005886072831881562,0.14249800685774655,0.16557098837948164,16.65311286302884,15.315078256152969,18.00667307710433,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,direct,bivariate,all lots,tract_black10,Tract Black share (+10 pp),0.1441132606843247,0.005174573477581983,0.13397128303290784,0.15425523833574156,15.50149188970571,14.335998534212479,16.678865797073385,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,total,bivariate,3+ units,tract_black10,Tract Black share (+10 pp),0.15423251713887054,0.006265252659947892,0.1419528475713289,0.16651218670641219,16.67621474371057,15.252230303006819,18.117793045132125,0.0,170729,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,total,bivariate,all lots,tract_hispanic10,Tract Hispanic share (+10 pp),0.11112302092974646,0.008663712539092492,0.09414245638071711,0.12810358547877582,11.753237827055084,9.871625391009498,13.66707391817885,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,direct,bivariate,all lots,tract_hispanic10,Tract Hispanic share (+10 pp),0.0835025448283979,0.007718904498881929,0.06837377001048513,0.09863131964631068,8.708798174172427,7.076545370783216,10.365932703106173,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,total,bivariate,3+ units,tract_hispanic10,Tract Hispanic share (+10 pp),0.11206872983751394,0.008967940496991057,0.09449188944791323,0.12964557022711465,11.858973849408528,9.910024878702362,13.842482016098945,0.0,170729,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,total,bivariate,all lots,tract_asian10,Tract Asian share (+10 pp),-0.15060598017210397,0.014690998508111874,-0.17939980814493492,-0.12181215219927302,-13.981343754340859,-16.422831573615337,-11.46853427050296,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,direct,bivariate,all lots,tract_asian10,Tract Asian share (+10 pp),-0.12178000728734154,0.01237860638347088,-0.14604162997774206,-0.097518384596941,-11.465688388593854,-13.587827093250038,-9.291433500183565,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,total,bivariate,3+ units,tract_asian10,Tract Asian share (+10 pp),-0.1429270052266547,0.015459414906624615,-0.1732269016657006,-0.11262710878760879,-13.318266027851422,-15.905321903018766,-10.651622974842457,0.0,170729,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
