geo,month,active_jobs,monitoring_events,monitoring_per_100_jobs,ecb_site_safety,ecb_cranes,idx_active_jobs_2020avg100,idx_monitoring_2020avg100
Manhattan,2021-04,17860,252,1.4109742441209407,16,14,215.5161144351149,124.80396203054065
Manhattan,2021-05,19414,326,1.6792005769032656,24,11,234.2681884458746,161.45274453157242
Manhattan,2021-06,21032,395,1.878090528718144,35,8,253.7925486449796,195.62525794469667
Manhattan,2021-07,22694,283,1.247025645545078,24,10,273.8478555985721,140.15683037556747
Manhattan,2021-08,24331,392,1.611113394435083,34,29,293.6014882598421,194.13949649195212
Manhattan,2021-09,25895,229,0.8843406062946514,18,8,312.4742319875308,113.41312422616592
Manhattan,2021-10,27450,231,0.8415300546448087,22,9,331.2383729699834,114.40363186132893
Manhattan,2021-11,28628,254,0.8872432583484701,12,4,345.4532656242144,125.79446966570369
Manhattan,2021-12,29595,184,0.6217266430140226,19,2,357.1220272512444,91.12670243499794
Manhattan,2022-01,30658,137,0.44686541848783357,15,8,369.9492181607924,67.84977300866694
Manhattan,2022-02,31611,192,0.6073835057416722,16,4,381.4490421841219,95.08873297565003
Manhattan,2022-03,33051,264,0.7987655441590269,12,7,398.8254814218914,130.74700784151878
Manhattan,2022-04,34013,222,0.6526916179107988,11,7,410.433908190457,109.94634750309532
Manhattan,2022-05,35209,232,0.6589224346047885,5,4,424.86600633516014,114.89888567891045
Manhattan,2022-06,36379,219,0.6019956568349872,11,2,438.9843632158479,108.4605860503508
Manhattan,2022-07,37163,218,0.586604956542798,14,5,448.44486902307807,107.9653322327693
Manhattan,2022-08,38483,273,0.7094041524829146,6,6,464.37327165770023,135.2042921997524
Manhattan,2022-09,39280,231,0.5880855397148675,8,2,473.99064809693795,114.40363186132893
Manhattan,2022-10,40197,425,1.0572928327984674,10,5,485.05606113932316,210.48287247214196
Manhattan,2022-11,40761,168,0.41215868109222054,9,3,491.86183317411627,83.20264135369378
Manhattan,2022-12,40834,253,0.6195817211147573,2,8,492.7427221076977,125.29921584812216
Manhattan,2023-01,41177,391,0.9495592199528863,4,5,496.8816933983609,193.64424267437062
Manhattan,2023-02,41115,379,0.9218046941505533,2,3,496.1335411534013,187.7011968633925
Manhattan,2023-03,41723,385,0.9227524387028736,0,7,503.4702599426819,190.67271976888156
Manhattan,2023-04,41338,365,0.882964826551841,4,7,498.8244758409171,180.76764341725135
Manhattan,2023-05,41864,334,0.7978215172940952,3,4,505.1717029513801,165.41477507222453
Manhattan,2023-06,41910,354,0.8446671438797423,1,12,505.7267836492533,175.31985142385474
Manhattan,2023-07,41735,264,0.6325625973403618,4,5,503.61506360299654,130.74700784151878
Manhattan,2023-08,42355,393,0.9278715617990793,7,7,511.0965860525918,194.63475030953364
Manhattan,2023-09,42149,404,0.9585043536026951,2,7,508.6107898838554,200.08254230293025
Manhattan,2023-10,42175,489,1.159454653230587,5,4,508.9245311478707,242.17911679735863
Manhattan,2023-11,41676,238,0.5710720798541127,0,5,502.90311227311577,117.8704085843995
Manhattan,2023-12,41656,150,0.3600921835990013,3,6,502.6617728392578,74.28807263722659
Manhattan,2024-01,41998,242,0.5762179151388162,1,6,506.78867715822815,119.85142385472555
Manhattan,2024-02,41711,228,0.546618398024502,4,1,503.32545628236704,112.9178704085844
Manhattan,2024-03,41957,505,1.203613223061706,1,3,506.2939313188194,250.10317787866282
Manhattan,2024-04,42136,407,0.9659198784887033,2,5,508.4539192518477,201.5683037556748
Manhattan,2024-05,42518,259,0.6091537701679288,3,9,513.0635024385338,128.27073875361123
Manhattan,2024-06,42404,205,0.48344495802282805,2,6,511.6878676655437,101.52703260420965
