word,z,n_large,n_small
location,-9.855665113946097,916,4133
build,-9.75353220261246,161,1152
homeowner,-9.698143071347033,6,973
sewer,-9.636553780627631,54,665
originally,-9.625366697204885,54,664
active,-9.54908938656694,357,1948
food,-9.524296262505299,246,1492
hpd,-9.471103399855666,194,1268
electricity,-9.449028479250849,117,931
issued,-9.419250541915458,349,1902
attic,-9.410775805752563,3,1817
original,-9.373831396431408,103,862
seen,-9.330406741211702,323,1788
alteration,-9.315829510814039,135,999
look,-9.126900143631248,660,3074
license,-9.080277924945255,219,1337
sro,-9.07272572089588,27,510
own,-8.90324376187201,189,1195
boarded,-8.882854670275284,20,478
adjacent,-8.876024047735402,191,1201
bowing,-8.873714894762506,5,818
sliding,-8.857348338990805,7,631
put,-8.838888241523076,954,4126
retaining,-8.825504348179688,38,527
existing,-8.77472698827058,58,610
subdivided,-8.727278596373225,28,481
awning,-8.71793006593105,57,601
element,-8.663926320360662,23,461
excavation,-8.640980225842327,127,907
heating,-8.612553867195015,112,839
bar,-8.572721450202987,96,765
anapartment,-8.500091691952534,16,438
flushing,-8.418999010768994,42,511
rat,-8.411553550355324,135,923
violation,-8.373486533232429,1027,4324
apermit,-8.368757423989093,59,583
airbnb,-8.332257574387459,368,1864
dirt,-8.321208295114486,95,741
lawn,-8.312564056997262,18,419
covered,-8.263064887653703,162,1026
nopermit,-8.262269589554695,85,692
leaning,-8.219049457878194,165,1035
corner,-8.139329534700984,264,1434
dug,-8.124530821267161,24,416
gutted,-8.122231911629388,18,401
observed,-8.11893657898525,231,1299
duplex,-8.114220842131402,23,412
alley,-8.081279433734856,17,396
cement,-8.067445884699477,224,1266
squatter,-8.066596016530811,14,395
white,-8.034806381952148,147,944
planting,-8.001948964557494,7,461
extending,-7.96034174101395,25,406
approval,-7.928902685314771,107,764
demolished,-7.794078616261729,41,460
gain,-7.772951187594706,95,700
drive,-7.711386898098422,117,791
convert,-7.70111971684854,20,369
renovation,-7.663937978757529,652,2863
premise,-7.6545587653879545,125,821
unlicensed,-7.634129311195781,168,1000
burning,-7.554759201799206,97,693
concrete,-7.482056428777044,425,1996
turning,-7.472714242328272,74,586
heavy,-7.464342606941241,356,1731
share,-7.414328923372515,74,582
pole,-7.405958255026913,80,608
split,-7.388249868790057,28,375
businesse,-7.387528785051522,32,392
utility,-7.368090432706522,20,343
occupying,-7.367380456566694,30,382
legally,-7.343785509858746,39,420
registered,-7.336416996740189,44,442
listing,-7.334086331371917,124,793
draining,-7.319152482231904,31,383
landmark,-7.292304770791753,25,356
stored,-7.261845276192054,93,655
siding,-7.261642292065372,7,351
richmond,-7.238357168099457,7,348
wooden,-7.233359888186118,99,679
frontage,-7.223425341311182,8,333
bill,-7.197490434843107,60,505
changed,-7.1625898903452905,113,734
storage,-7.156808513236826,173,983
www,-7.130445856259933,133,816
sucked,-7.117429972501219,6,352
addition,-7.096919900811394,149,880
overcrowded,-7.077183909091817,78,577
grass,-7.074322383318855,48,443
church,-7.060646116007382,23,332
running,-7.060456146459092,536,2366
tall,-6.9738402178642165,41,405
create,-6.964456897684215,170,956
auto,-6.954968026853901,5,358
licensed,-6.9518777830696035,112,715
gutting,-6.923633271634136,18,304
http,-6.915838435834411,199,1069
sold,-6.812879099828248,15,287
progress,-6.805272291626262,291,1420
national,-6.79048793846349,21,306
extra,-6.769952445233478,87,596
visible,-6.723995869774175,308,1478
record,-6.722023641933357,102,657
floor',-6.707181350952971,3,448
grid,-6.692291671241344,24,312
gut,-6.690679067819139,40,383
partial,-6.678299933242242,67,503
waste,-6.673701509262736,54,445
wood,-6.630950934166747,327,1542
modified,-6.600578176215075,12,265
lock,-6.568975862999502,160,886
selling,-6.568753811327015,69,505
using,-6.534951603941204,964,3841
painted,-6.514390199785176,41,377
barbecue,-6.497288224981906,6,275
dumping,-6.492312952684019,21,287
towed,-6.489514181128946,7,264
installed,-6.463420788302191,884,3549
salon,-6.462814399660006,47,401
big,-6.461110208397093,254,1248
club,-6.4394487304701915,30,323
escape,-6.4376857155840455,411,1839
destroyed,-6.386179126516478,23,289
kill,-6.384819085581375,26,302
black,-6.377000767507379,200,1031
debri,-6.375631774397728,1429,5438
guy,-6.375195697853742,127,738
easement,-6.370313009734215,4,308
hookup,-6.335339466826822,28,308
spot,-6.297144910895191,130,745
small,-6.2798969640345055,226,1125
renovated,-6.274724279644468,85,556
land,-6.274075483712175,49,399
away,-6.270835556599042,236,1163
unpermitted,-6.264010342052535,46,385
he',-6.228883916849902,46,383
mine,-6.224447628588636,78,523
ticket,-6.2016048474840275,41,359
demo,-6.1515580636551555,22,271
third,-6.10984463365491,197,999
proper,-6.109776126156636,376,1678
regulation,-6.089827153263407,129,727
flood,-6.079554594318503,149,807
water,-6.076033561367608,2647,9523
occupant,-6.072189537981994,132,738
tarp,-6.0686546915997654,46,374
sewage,-6.054790863401054,75,500
invading,-6.013584612281359,9,219
grade,-5.97710907751069,17,240
permitposted,-5.967928381942335,25,274
registration,-5.931027666736388,25,272
deli,-5.919868693715446,36,321
raccoon,-5.917003865057621,14,225
ground,-5.900223821656562,550,2292
zoned,-5.840861055586528,13,217
listed,-5.81723535211886,170,872
container,-5.816966786798983,33,302
sale,-5.799784418696973,27,274
monoxide,-5.749692949610942,36,312
storefront,-5.74252036592584,25,262
damaging,-5.731298307097287,60,417
taking,-5.724674756208828,876,3426
thru,-5.719100345371373,59,412
com,-5.660039271214544,276,1266
plan,-5.630619355208611,388,1678
