word,z,n_agency,n_caller
temporarily,-4.033828238613167,10,182
cleared,-4.033053441066783,8,169
postedpermit,-4.030031040240226,2,172
roughly,-4.028115670606628,3,154
prospect,-4.026781461834373,5,153
avail,-4.026767953625839,9,175
directed,-4.020862216415081,11,188
clinton,-4.01644119837029,7,162
hood,-4.01487433353594,17,229
suggest,-4.013221592191749,2,170
asian,-4.013221592191749,2,170
flicker,-4.01192173215217,5,152
glove,-4.006956343709867,6,156
inspecting,-4.005133268592544,3,152
northern,-4.005133268592544,3,152
clock,-4.005133268592544,3,152
isin,-4.005133268592544,3,152
easement,-4.003508659774711,73,589
visited,-4.003074762071947,11,187
acting,-4.003074762071947,11,187
patch,-3.9990570082787413,8,167
died,-3.992142020260751,1,263
excessively,-3.992000874176163,9,173
lamp,-3.991011856483195,6,155
locking,-3.990289768389767,13,200
condominium,-3.9842564014344206,1,261
corp,-3.981874780713378,43,400
convenience,-3.981846953922181,3,150
offering,-3.9790034621110393,2,166
became,-3.9782721588893963,27,295
warm,-3.976312030264914,1,259
warrant,-3.9683079895463114,1,257
drained,-3.9667524522904296,5,149
subletting,-3.9642833005980234,1,256
junk,-3.961079941488409,30,314
threatened,-3.960243340496758,1,255
filthy,-3.960243340496758,1,255
mattress,-3.9568370606689607,9,171
buy,-3.9561879884117883,1,254
apply,-3.9527963605825707,2,163
decade,-3.952117122077277,1,253
beauty,-3.952117122077277,1,253
nasty,-3.952117122077277,1,253
sixth,-3.948030617769481,1,252
dripping,-3.9463297373109385,3,147
caved,-3.9452374873903238,4,145
asphalt,-3.9439537398294235,2,162
shack,-3.9439537398294235,2,162
solution,-3.9439283502835227,1,251
stall,-3.9425597200435805,6,152
indicated,-3.9402081900974473,42,391
unresolved,-3.9361347329840286,5,147
product,-3.9356760174091368,1,249
meant,-3.931525693989485,1,248
trip,-3.930653561384621,49,435
chicken,-3.9298449071644597,8,163
unsafely,-3.9271111213977243,10,176
serviced,-3.9261983330349937,6,151
helping,-3.9261041199284166,2,160
amsterdam,-3.921267458124886,9,169
seep,-3.9170641296349795,4,143
towing,-3.9170641296349795,4,143
buse,-3.9170641296349795,4,143
supporting,-3.9133044220208597,33,331
backing,-3.9132128246643205,20,244
barbershop,-3.9122807954915633,8,162
neon,-3.910081407034561,3,144
written,-3.9092017122209524,30,311
pot,-3.9037063544292527,16,216
style,-3.9028298965309083,4,142
blockage,-3.9028298965309083,4,142
taped,-3.9028298965309083,4,142
wider,-3.89890832249998,2,157
divide,-3.89890832249998,2,157
ups,-3.898776629946046,13,195
worksite,-3.898270270574231,21,250
fish,-3.8978309061202294,3,143
tore,-3.89772567331093,1,240
whereby,-3.893423908722522,1,239
renovate,-3.8897278199494982,2,156
buildingi,-3.8897278199494982,2,156
pluming,-3.8897278199494982,2,156
utilized,-3.889423409798931,5,144
internet,-3.8891046070364346,1,238
rude,-3.8891046070364346,1,238
brother,-3.8891046070364346,1,238
highrise,-3.8884954552570155,4,141
mosquito,-3.8884954552570155,4,141
designed,-3.887139840305937,17,222
bolted,-3.876830429884309,8,160
cooling,-3.876830429884309,8,160
ineffect,-3.867239772011124,1,233
corrected,-3.8599916101384144,65,530
disposal,-3.8596622300789356,6,147
notifying,-3.8595202567867655,4,139
layer,-3.858941559132777,8,159
extreme,-3.8585300458839256,42,386
contacting,-3.858365726224156,1,231
everytime,-3.858365726224156,1,231
upward,-3.8577425322850254,5,142
fulton,-3.8550806810953495,19,234
advertise,-3.8494165533267126,1,229
reference,-3.84612817057541,44,398
pickup,-3.8429269743044574,2,151
firstfloor,-3.8429269743044574,2,151
tube,-3.842748282137252,6,146
shifting,-3.8365094786966605,19,233
buildingwithout,-3.835849018835287,1,226
profit,-3.835849018835287,1,226
mall,-3.8352665563439827,3,138
excess,-3.8334362947152765,23,260
tear,-3.8333815781296496,2,150
combined,-3.8312072266433193,17,219
locate,-3.830126845791176,4,137
emitting,-3.825615560532524,5,140
surface,-3.8254016231153156,25,273
extensive,-3.8236149548280425,56,472
burn,-3.8151241636996236,23,259
sister,-3.814098916401769,2,148
thermostat,-3.814098916401769,2,148
account,-3.8043599145094897,2,147
we're,-3.803496083201133,1,219
daycare,-3.8023152675351737,76,593
dean,-3.7980179281569875,10,169
natural,-3.796772517177149,29,298
cancel,-3.794554611455456,2,146
existed,-3.794554611455456,2,146
shoot,-3.7930298355476237,5,138
determined,-3.792817464501574,7,149
intentionally,-3.7893206126648953,1,216
shutdown,-3.7862631631655326,8,155
utilize,-3.7846820939654386,2,145
redone,-3.7846820939654386,2,145
oder,-3.7748265981791818,7,148
root,-3.7747388729574474,9,161
presence,-3.7745342747811437,17,216
alleyway,-3.774208889426586,57,475
vertically,-3.7703974880271014,3,133
adam,-3.7703974880271014,3,133
encampment,-3.7701180260128515,1,212
round,-3.770036058742397,4,133
illegalconversion,-3.770036058742397,4,133
closest,-3.770036058742397,4,133
stairwell,-3.766779345678718,95,704
stick,-3.7652620938755526,1,211
vacation,-3.7652620938755526,1,211
university,-3.7599721551499776,5,136
filter,-3.7554824033406295,1,209
possibility,-3.754651834849427,2,142
neglect,-3.754651834849427,2,142
boy,-3.754651834849427,2,142
celler,-3.743262049785384,5,135
maintaining,-3.7410867338320006,10,166
astop,-3.740640007077562,1,206
instructed,-3.740640007077562,1,206
tire,-3.7396596393406063,49,423
aug,-3.739312640306461,4,131
released,-3.7387941478546716,6,140
paving,-3.736993103461718,9,159
cannabi,-3.7342779695277932,2,140
viru,-3.7342779695277932,2,140
basementapartment,-3.7342779695277932,2,140
bushe,-3.7342779695277932,2,140
table,-3.7334022784569783,100,731
effort,-3.730627198079873,1,204
reduce,-3.730297363202865,3,130
withoutany,-3.730297363202865,3,130
bodega,-3.7264287425896137,5,134
rate,-3.7239818880839737,2,139
width,-3.722544889054625,23,254
energy,-3.721041380431705,6,139
sky,-3.721041380431705,6,139
silver,-3.720517905909501,1,202
directing,-3.7201267927480752,7,145
timely,-3.7136116381355935,2,138
crossing,-3.7104314027990797,14,192
port,-3.70826000751182,20,233
haven,-3.7051688193435126,1,199
urine,-3.7051688193435126,1,199
unlivable,-3.703166139058084,2,137
planned,-3.703166139058084,2,137
linden,-3.7030476173389753,3,128
pound,-3.7030476173389753,3,128
instruction,-3.7030476173389753,3,128
drainpipe,-3.700002085249091,1,198
potty,-3.6987801571730152,9,157
replacement,-3.695932668606189,52,439
somewhere,-3.694809737855065,1,197
anyway,-3.694809737855065,1,197
buildingwith,-3.692644286514171,2,136
thee,-3.692644286514171,2,136
nostrand,-3.6923410584920333,4,128
highway,-3.6923410584920333,4,128
patron,-3.689591514865504,1,196
resume,-3.6892630175721504,3,127
accessory,-3.6891723755956245,13,184
upgrade,-3.6851542082101107,6,137
familyhouse,-3.6843471499465967,1,195
