term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,n
geo_outside_nyc,0.11490086792144738,0.027871758611764212,4.122483605069312,3.7480929469424495e-05,0.06027322485659542,0.16952851098629934,ppml_n_complaints,complaints,459970
geo_unknown,-0.47784624398679726,0.018332100505588977,-26.06609339945057,0.0,-0.5137765007387202,-0.44191598723487435,ppml_n_complaints,complaints,459970
multi_prop_owner,0.18130708143761928,0.019705614610702686,9.20078287429544,0.0,0.14268478650741573,0.21992937636782284,ppml_n_complaints,complaints,459970
sg_chinese,0.6974061855881689,0.03983022867223231,17.509469788064926,0.0,0.619340371894599,0.7754719992817388,ppml_n_conv,conversion complaints,456228
sg_indian,0.5566806844664952,0.07526455670290699,7.396319182000765,1.4011014570769476e-13,0.40916486401642477,0.7041965049165657,ppml_n_conv,conversion complaints,456228
sg_indo_caribbean,0.7550013874480574,0.07347079452262928,10.276211008110362,0.0,0.6110012762681614,0.8990014986279535,ppml_n_conv,conversion complaints,456228
sg_korean,0.2813345560029714,0.12435022280896546,2.2624370881520255,0.02367041165673478,0.03761259782786791,0.525056514178075,ppml_n_conv,conversion complaints,456228
sg_muslim_sa,0.6897566404462243,0.044776124257761486,15.404563299751475,0.0,0.6019970495337215,0.7775162313587272,ppml_n_conv,conversion complaints,456228
sg_nepali_himalayan,0.25039299783542207,0.13175683614242256,1.9004175052045098,0.057378351470826594,-0.00784565572067153,0.5086316513915157,ppml_n_conv,conversion complaints,456228
sg_sikh_punjabi,0.5554695698371975,0.12843961739895826,4.324752604266966,1.5270313568294114e-05,0.3037325455471352,0.8072065941272599,ppml_n_conv,conversion complaints,456228
sg_singh,0.5293301221115944,0.09297119697734586,5.69348507194734,1.2447210373522921e-08,0.3471099244364173,0.7115503197867714,ppml_n_conv,conversion complaints,456228
sg_vietnamese,0.21607272574393246,0.1324123535990343,1.631816970780801,0.10271804913329552,-0.04345071841835743,0.47559616990622233,ppml_n_conv,conversion complaints,456228
sg_asian_small,-0.03817793489750338,0.41024665951494005,-0.09306092813197678,0.9258551575206333,-0.8422466123246524,0.7658907425296455,ppml_n_conv,conversion complaints,456228
