outcome,outcome_label,conv_def,conv_def_label,term,b,se,t,p,ci_lo,ci_hi,irr,irr_lo,irr_hi,n_obs,n_jobs_sample,n_events,fe,offset,cluster,window,unit
n_stat,statutory_periodic (agency contrast),conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",conversion,-0.12073794892702397,0.11479966906581297,-1.0517273256058488,0.2929246702782571,-0.3457411657331344,0.10426526787908647,0.8862661761676526,0.7076956392844075,1.1098948353179976,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",log_cost,0.1373584669754186,0.00447762465732594,30.676637165351366,0.0,0.12858248391077126,0.14613445004006592,1.1472393222298183,1.1372152193814287,1.1573517835843223,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",log_floor,0.008147175903778846,0.0035949814393794496,2.2662636904142617,0.023435243134412254,0.00110114175750516,0.015193210050052534,1.008180454455395,1.0011017482366764,1.0153092136101107,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",floor_missing,-1.0731773764435777,0.07302052723576845,-14.696927248669487,0.0,-1.21629497995781,-0.9300597729293454,0.34192037986229445,0.2963260294522511,0.3945301274453654,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",jt_new_building,0.9744228182966426,0.03674581463437317,26.517926680692973,0.0,0.9024023450306863,1.0464432915625987,2.6496374472941606,2.465519029662017,2.847505339703634,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",jt_alteration_co,-0.029176675645004133,0.0471077559794186,-0.6193603375578203,0.5356790036615899,-0.12150618075716599,0.06315282946715772,0.9712448539963192,0.8855855797425338,1.0651896191541215,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",jt_altco_existing,0.9555050522715371,0.04679510817349365,20.41890893229664,0.0,0.8637883255988337,1.0472217789442406,2.5999833788877895,2.37213009463453,2.8497229497584766,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",jt_full_demolition,0.5416566438788328,0.10948067944926386,4.94750897239225,7.516924012129778e-07,0.3270784551553012,0.7562348326023645,1.718852030513774,1.386910283173706,2.1302403902007034,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion_ge10,non-residential-to-residential conversion (10+ units),conversion_ge10,0.13066387102221985,0.17885144207628406,0.7305720854433415,0.46504056764515145,-0.2198785140303486,0.4812062560747883,1.1395846694980538,0.8026162986591758,1.6180249779682716,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion_ge10,non-residential-to-residential conversion (10+ units),log_cost,0.13724224191181236,0.004477250458793013,30.65324202318814,0.0,0.12846699226281263,0.1460174915608121,1.147105992014927,1.1370838881056373,1.1572164293953169,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion_ge10,non-residential-to-residential conversion (10+ units),log_floor,0.008055608660119855,0.003593770591782613,2.241547826825541,0.024990611169575017,0.001011947731526735,0.015099269588712976,1.0080881423765156,1.0010124599233883,1.0152138394739971,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion_ge10,non-residential-to-residential conversion (10+ units),floor_missing,-1.0750959710760781,0.07299984251644175,-14.727373841031703,0.0,-1.2181730332853997,-0.9320189088667565,0.3412650021598566,0.29577003562303716,0.3937579459455422,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion_ge10,non-residential-to-residential conversion (10+ units),jt_new_building,0.9743229761560236,0.03673060950610515,26.526185904812642,0.0,0.9023323043938529,1.0463136479181943,2.6493729150255123,2.4653463491864502,2.847136202662586,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion_ge10,non-residential-to-residential conversion (10+ units),jt_alteration_co,-0.034680412366397316,0.04686573925287908,-0.7399949924883946,0.4593030327859293,-0.12653557341088545,0.05717474867809081,0.9659140611244565,0.8811428037309742,1.058840825264001,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion_ge10,non-residential-to-residential conversion (10+ units),jt_altco_existing,0.9386778487783787,0.04619670994041914,20.319149350440995,0.0,0.8481339610909137,1.0292217364658438,2.5565989723149976,2.33528505077779,2.798886715377704,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion_ge10,non-residential-to-residential conversion (10+ units),jt_full_demolition,0.5413759771464879,0.10946068678037653,4.9458485331150195,7.581289258595802e-07,0.32683697333393025,0.7559149809590455,1.7183696736249177,1.386575409986968,2.1295591382668166,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),conversion_office,-0.15847315301507614,0.24087826254533637,-0.6578972769917313,0.5106041405156838,-0.630585872262519,0.3136395662323667,0.8534458759319361,0.5322798616306789,1.36839643136942,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),log_cost,0.13731037990093126,0.004475524475612964,30.68028800850773,0.0,0.12853851311680234,0.14608224668506017,1.1471841561734732,1.1371652162246662,1.1572913675152718,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),log_floor,0.008121274305015986,0.003594219343323648,2.259537754728702,0.02384995455433092,0.00107673383956443,0.015165814770467542,1.0081543413079708,1.001077313725554,1.0152813993113305,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),floor_missing,-1.0740097951565215,0.0730072420149917,-14.711003532169842,0.0,-1.2171013601165046,-0.9309182301965383,0.34163587736878814,0.29608717433855125,0.39419158552301087,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),jt_new_building,0.974367484000534,0.03673770823113627,26.522271826818237,0.0,0.9023628989929662,1.0463720690081018,2.6494908355274385,2.465421776623509,2.847302540321427,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),jt_alteration_co,-0.031025543383998055,0.04706010205017926,-0.6592748853565198,0.50971926675187,-0.12326164851112899,0.06121056174313287,0.9694508097054576,0.8840323265557468,1.0631227435994692,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
