Coefficient,Estimate,Std. Error,t value,Pr(>|t|),2.5%,97.5%,contrast,outcome,arms_length
C(event_t)[T.1],0.19797309910763167,31.30645507506262,0.006323714985710042,0.9949544758052364,-61.163713988900824,61.559660187116094,W->A vs W->W,n_viol,False
C(event_t)[T.2],0.23475355930963998,37.567825073031855,0.006248792919294078,0.9950142533489452,-73.39942575550722,73.8689328741265,W->A vs W->W,n_viol,False
C(event_t)[T.3],0.27144650735076714,43.8290742424687,0.006193297760502225,0.9950585309001685,-85.63498820635583,86.17788122105738,W->A vs W->W,n_viol,False
C(event_t)[T.4],0.30864510240325016,50.09032794952461,0.006161770446267949,0.9950836853943263,-97.8700539040765,98.487344108883,W->A vs W->W,n_viol,False
event_t::-4:treat,0.031955342729131066,0.054042967083779085,0.5912951204102636,0.55433070156628,-0.07397460384044893,0.13788528929871108,A->W vs A->A,n_comp,False
event_t::-3:treat,0.02575549248092386,0.05425930948691969,0.47467416604578694,0.6350254411353649,-0.0805985081412379,0.13210949310308562,A->W vs A->A,n_comp,False
event_t::-2:treat,0.032235221051063634,0.05101646384625541,0.6318591807579719,0.5274875476006562,-0.06776245822189396,0.13223290032402124,A->W vs A->A,n_comp,False
event_t::0:treat,0.07482689582513637,0.05566312871260835,1.3442811706016662,0.17887574197018719,-0.03427873934995471,0.18393253100022744,A->W vs A->A,n_comp,False
event_t::1:treat,0.12658757456787967,0.06097584596915157,2.076028180599936,0.0379066069653613,0.007068450173137175,0.24610669896262216,A->W vs A->A,n_comp,False
event_t::2:treat,0.09347286313102236,0.055985183017644415,1.669600027949596,0.095017267162403,-0.016264032634777728,0.20320975889682247,A->W vs A->A,n_comp,False
event_t::3:treat,0.09748374862663754,0.062454528707766056,1.560875578499333,0.1185720592121946,-0.024933750745407157,0.21990124799868224,A->W vs A->A,n_comp,False
event_t::4:treat,0.1001504155879139,0.061122797468520174,1.638511647630231,0.10133384433667603,-0.0196567493293318,0.21995758050515962,A->W vs A->A,n_comp,False
C(event_t)[T.-3],-0.0784905223190188,124.82041691344263,-0.0006288275929525894,0.9994982757161432,-244.73974448226872,244.5827634376307,A->W vs A->A,n_comp,False
C(event_t)[T.-2],-0.14205996359128864,249.63706765597914,-0.0005690659841713059,0.9995459578587482,-489.45718578912425,489.17306586194167,A->W vs A->A,n_comp,False
C(event_t)[T.-1],-0.16966555750675905,374.4236769236967,-0.00045313789688929037,0.9996384536929415,-734.0797787721746,733.7404476571611,A->W vs A->A,n_comp,False
C(event_t)[T.0],-0.2561369925485527,499.2768535532344,-0.000513015956429157,0.9995906786344868,-978.8917166847765,978.3794426996793,A->W vs A->A,n_comp,False
C(event_t)[T.1],-0.32951507354006526,624.1009835274937,-0.0005279835831656706,0.9995787363765976,-1223.6336267186766,1222.9745965715965,A->W vs A->A,n_comp,False
C(event_t)[T.2],-0.4164818196060269,748.9321717379156,-0.0005561008530846933,0.9995563023801746,-1468.4029603090337,1467.5699966698214,A->W vs A->A,n_comp,False
C(event_t)[T.3],-0.5033674782401383,873.744382061443,-0.0005761038223244801,0.999540342561327,-1713.1350141411008,1712.1282791846206,A->W vs A->A,n_comp,False
C(event_t)[T.4],-0.5847486591397197,998.5643069331578,-0.000585589385760873,0.9995327742912856,-1957.876684827984,1956.7071875097047,A->W vs A->A,n_comp,False
event_t::-4:treat,-0.0027410817584738456,0.00755209760157714,-0.36295634710830704,0.7166420873661556,-0.017543993933579728,0.012061830416632035,A->W vs A->A,n_conv,False
event_t::-3:treat,-0.012345452622208278,0.005738580013559215,-2.151307918167601,0.031466201479547484,-0.02359367800700666,-0.0010972272374098965,A->W vs A->A,n_conv,False
event_t::-2:treat,-0.005307829368958377,0.005832879025962223,-0.9099844768480809,0.36284382960161277,-0.016740890818178044,0.006125232080261291,A->W vs A->A,n_conv,False
event_t::0:treat,-0.010186793196343556,0.006582103279337756,-1.5476501604466586,0.12172549656279052,-0.023088413635036713,0.0027148272423496017,A->W vs A->A,n_conv,False
event_t::1:treat,-0.006255721836079311,0.007173282373157287,-0.8720863770104013,0.38317379499211257,-0.02031611599132794,0.0078046723191693155,A->W vs A->A,n_conv,False
event_t::2:treat,-0.006580148852942937,0.006557507652406411,-1.003452714314137,0.31565701986635086,-0.019433559254562378,0.006273261548676503,A->W vs A->A,n_conv,False
event_t::3:treat,-0.004281485905270577,0.007003486753775983,-0.6113363322865116,0.5409852640007786,-0.018009062640244572,0.009446090829703418,A->W vs A->A,n_conv,False
event_t::4:treat,-0.001014875186867225,0.008170727065907239,-0.12420867551699795,0.9011515482619938,-0.01703036671575408,0.01500061634201963,A->W vs A->A,n_conv,False
C(event_t)[T.-3],0.03172800151539502,38.66139287373036,0.0008206636946325221,0.9993452149841895,-75.74870194917519,75.81215795220596,A->W vs A->A,n_conv,False
C(event_t)[T.-2],0.06232170241853975,77.32277791008835,0.0008059940951812158,0.9993569194520151,-151.49852283688168,151.62316624171874,A->W vs A->A,n_conv,False
C(event_t)[T.-1],0.09368464249868046,115.98415685130514,0.0008077365481803409,0.9993555291969343,-227.247562538288,227.43493182328538,A->W vs A->A,n_conv,False
C(event_t)[T.0],0.12941885719622023,154.64559577923197,0.0008368738633913327,0.9993322813388699,-302.99234854539003,303.2511862597825,A->W vs A->A,n_conv,False
C(event_t)[T.1],0.1602936853419427,193.30717382680106,0.0008292174685951504,0.9993383901644992,-378.7422666282959,379.06285399897985,A->W vs A->A,n_conv,False
C(event_t)[T.2],0.18877679114790966,231.96890242999586,0.000813802148349946,0.999350689622247,-454.49487153853386,454.8724251208297,A->W vs A->A,n_conv,False
C(event_t)[T.3],0.21414212341941985,270.63052722875767,0.0007912711312069037,0.9993686664980577,-530.2503907546095,530.6786750014483,A->W vs A->A,n_conv,False
C(event_t)[T.4],0.24424914280873805,309.29128841584264,0.0007897058596760239,0.9993699153849593,-605.9994755130974,606.4879737987148,A->W vs A->A,n_conv,False
event_t::-4:treat,0.0005588515187486703,0.012412471760600598,0.04502338692302728,0.9640892061011068,-0.02377090943531806,0.024888612472815402,A->W vs A->A,n_ecb,False
