outcome,spec,term,term_label,fe,baseline_rate,estimate,std_error,ci_lo,ci_hi,p,n,cluster
viol100,hpd_hit_base,tract_foreign10,Tract foreign-born share (+10 pp),major_category + size_bin + comm_bin + borocode,35.96004518140973,0.5602254351490417,0.1185319089069227,0.32777703101402833,0.792673839284055,2.4327937306889424e-06,2258451,bct2020
viol100,hpd_hit_controls,tract_foreign10,Tract foreign-born share (+10 pp),major_category + size_bin + comm_bin + borocode,35.96004518140973,0.5500360371025297,0.12493595668480657,0.3050288992079646,0.7950431749970948,1.1220074112694434e-05,2258451,bct2020
noaccess100,hpd_noaccess_base,tract_foreign10,Tract foreign-born share (+10 pp),major_category + size_bin + comm_bin + borocode,29.03732494603452,-0.15429959055373643,0.08923875926968307,-0.3293022259783183,0.020703044870845455,0.08394012931016404,3182590,bct2020
noaccess100,hpd_noaccess_controls,tract_foreign10,Tract foreign-born share (+10 pp),major_category + size_bin + comm_bin + borocode,29.03732494603452,-0.12677472041741034,0.08957467553901399,-0.3024361080803246,0.04888666724550392,0.15712548407346794,3182590,bct2020
viol100,hpd_hit_base,tract_overcrowd10,Tract overcrowded-household share (+10 pp),major_category + size_bin + comm_bin + borocode,35.96004518140973,0.4345536042451031,0.23212432869772817,-0.020656560378736033,0.8897637688689422,0.06133145878258772,2258451,bct2020
viol100,hpd_hit_controls,tract_overcrowd10,Tract overcrowded-household share (+10 pp),major_category + size_bin + comm_bin + borocode,35.96004518140973,0.413716479543197,0.2203487993576455,-0.01840114377097135,0.8458341028573654,0.06057691106006846,2258451,bct2020
noaccess100,hpd_noaccess_base,tract_overcrowd10,Tract overcrowded-household share (+10 pp),major_category + size_bin + comm_bin + borocode,29.03732494603452,-0.2954061630297119,0.14191482086303628,-0.5737097595844893,-0.01710256647493441,0.03749870511727438,3182590,bct2020
noaccess100,hpd_noaccess_controls,tract_overcrowd10,Tract overcrowded-household share (+10 pp),major_category + size_bin + comm_bin + borocode,29.03732494603452,-0.23808892669295356,0.13924250183057374,-0.5111519430648206,0.03497408967891352,0.08743014615433542,3182590,bct2020
viol100,hpd_hit_base,tract_black10,Tract Black share (+10 pp),major_category + size_bin + comm_bin + borocode,35.96004518140973,0.5454021911637186,0.05298438081162953,0.44149654350038464,0.6493078388270526,0.0,2258451,bct2020
viol100,hpd_hit_controls,tract_black10,Tract Black share (+10 pp),major_category + size_bin + comm_bin + borocode,35.96004518140973,0.5704682234194642,0.054123704836903916,0.46432829087950966,0.6766081559594188,0.0,2258451,bct2020
noaccess100,hpd_noaccess_base,tract_black10,Tract Black share (+10 pp),major_category + size_bin + comm_bin + borocode,29.03732494603452,-0.2929384326621884,0.04375537572443066,-0.37874538614780845,-0.20713147917656832,2.740851989813109e-11,3182590,bct2020
noaccess100,hpd_noaccess_controls,tract_black10,Tract Black share (+10 pp),major_category + size_bin + comm_bin + borocode,29.03732494603452,-0.3020248130871334,0.04359360770944009,-0.38751452965482186,-0.21653509651944497,5.601519248443765e-12,3182590,bct2020
viol100,hpd_hit_base,tract_hispanic10,Tract Hispanic share (+10 pp),major_category + size_bin + comm_bin + borocode,35.96004518140973,0.16779573089072122,0.06427040375466188,0.04175749423652694,0.29383396754491553,0.009096079327100881,2258451,bct2020
viol100,hpd_hit_controls,tract_hispanic10,Tract Hispanic share (+10 pp),major_category + size_bin + comm_bin + borocode,35.96004518140973,0.1745317729645536,0.0667426378881763,0.04364533227582554,0.3054182136532817,0.0089848417726619,2258451,bct2020
noaccess100,hpd_noaccess_base,tract_hispanic10,Tract Hispanic share (+10 pp),major_category + size_bin + comm_bin + borocode,29.03732494603452,-0.2747150345583098,0.05083901201959349,-0.3744134297245165,-0.1750166393921031,7.248125477588019e-08,3182590,bct2020
noaccess100,hpd_noaccess_controls,tract_hispanic10,Tract Hispanic share (+10 pp),major_category + size_bin + comm_bin + borocode,29.03732494603452,-0.25548317587012764,0.05035672834787543,-0.3542357834182228,-0.15673056832203247,4.2391553822795913e-07,3182590,bct2020
viol100,hpd_hit_base,tract_asian10,Tract Asian share (+10 pp),major_category + size_bin + comm_bin + borocode,35.96004518140973,-0.538920370218919,0.10458547725943514,-0.7440189593570088,-0.33382178108082927,2.7974242566841667e-07,2258451,bct2020
viol100,hpd_hit_controls,tract_asian10,Tract Asian share (+10 pp),major_category + size_bin + comm_bin + borocode,35.96004518140973,-0.5373308026930185,0.10296409117993495,-0.7392497534523617,-0.3354118519336753,1.9747462309815944e-07,2258451,bct2020
noaccess100,hpd_noaccess_base,tract_asian10,Tract Asian share (+10 pp),major_category + size_bin + comm_bin + borocode,29.03732494603452,0.5520348283787752,0.09362956663954919,0.3684215526040052,0.7356481041535451,4.311042189897307e-09,3182590,bct2020
noaccess100,hpd_noaccess_controls,tract_asian10,Tract Asian share (+10 pp),major_category + size_bin + comm_bin + borocode,29.03732494603452,0.515555010895882,0.09201718933666897,0.33510370509483267,0.6960063166969312,2.377587660085112e-08,3182590,bct2020
