bbl_key,date,any730,any365,placebo365,fully_cold
3004610009,2026-02-07,1,0,1,0
2033060039,2025-08-20,1,1,1,0
4109970013,2025-06-02,1,1,1,0
3012340041,2025-11-12,0,0,0,1
3053840053,2025-07-08,0,0,1,1
4083990240,2025-12-03,1,1,0,0
4011680009,2024-09-19,0,0,1,1
5008700118,2025-07-15,1,1,0,0
2029370071,2025-12-08,1,1,0,0
1011850076,2024-07-21,1,1,1,0
4125260136,2024-05-29,0,0,0,1
2048420006,2024-03-22,1,0,1,0
4083410018,2026-03-25,0,0,0,1
2031840052,2025-10-11,1,1,0,0
3080090061,2025-03-21,1,0,1,0
4046690009,2025-06-26,1,1,1,0
4057470048,2025-03-25,1,0,0,0
3047200009,2024-08-09,0,0,1,1
3022190064,2024-10-11,0,0,1,1
3010090026,2025-03-06,1,1,1,0
3020180022,2024-01-02,1,0,0,0
4023060228,2025-09-16,1,1,1,0
3017740063,2024-12-20,1,1,1,0
4155920021,2025-11-13,0,0,0,1
4139530047,2026-04-03,0,0,1,1
2039670056,2025-07-25,1,1,1,0
4055870064,2025-08-05,1,0,1,0
5062340013,2024-09-11,1,1,1,0
4085900047,2025-02-06,1,1,0,0
3007860057,2025-06-20,0,0,1,1
4112890006,2025-10-15,1,1,1,0
3049790027,2024-06-05,0,0,0,1
3012190050,2025-12-02,1,1,1,0
4115610037,2024-05-09,1,1,1,0
3013570150,2025-06-16,1,1,1,0
4032870047,2024-01-19,0,0,0,1
2031460037,2025-07-09,1,1,0,0
3078300061,2025-03-20,1,1,1,0
4117110026,2024-07-17,0,0,0,1
4032870009,2026-03-17,0,0,0,1
4104040045,2025-11-20,0,0,0,1
3074100205,2024-08-02,1,1,1,0
4093400161,2024-12-22,1,1,1,0
4113450014,2025-01-21,0,0,0,1
3064610290,2024-12-03,0,0,0,1
5007250033,2025-01-27,0,0,0,1
5043750012,2024-03-01,0,0,1,1
2034930050,2024-07-05,1,1,1,0
4013600006,2024-05-08,1,1,1,0
4136760069,2025-10-09,1,1,1,0
3087310024,2025-06-20,1,1,1,0
4106960087,2024-04-03,1,1,1,0
3022200051,2025-10-07,1,1,1,0
3016610062,2025-07-05,0,0,0,1
4127210003,2024-09-03,1,1,0,0
2025240010,2024-01-19,1,1,1,0
2058841185,2025-12-17,1,1,1,0
2034750031,2024-05-17,0,0,0,1
4072020051,2025-02-18,0,0,1,1
3064630085,2025-06-16,1,1,1,0
5052780052,2026-03-11,1,0,0,0
1001770005,2024-08-21,1,0,0,0
4117380007,2025-05-28,1,1,1,0
4023810015,2025-05-12,1,1,0,0
3069270035,2025-11-24,1,1,1,0
3036240011,2025-04-03,0,0,0,1
4127330057,2024-03-05,1,1,1,0
3085940045,2025-07-09,0,0,1,1
4040190222,2024-09-20,1,0,1,0
3053700011,2024-04-22,1,0,1,0
4125370064,2025-08-01,1,0,0,0
4079550329,2025-11-14,1,1,1,0
3020140006,2025-01-02,1,1,1,0
3014710178,2024-09-04,1,1,0,0
4090730027,2024-04-24,0,0,0,1
3045180122,2024-07-26,1,1,1,0
2049010004,2024-07-31,1,1,0,0
4010450026,2025-05-13,1,0,1,0
4012160053,2025-03-10,0,0,0,1
4031400032,2024-01-31,0,0,0,1
3006280068,2026-02-20,1,1,1,0
5032700095,2024-12-02,0,0,0,1
2028900015,2024-01-10,1,1,1,0
4099480064,2024-04-11,1,0,1,0
4023060002,2025-09-16,1,0,0,0
4094410037,2024-06-09,1,1,0,0
2055810105,2025-07-14,1,1,1,0
3066150054,2024-04-11,1,1,0,0
2046470001,2025-02-25,1,1,0,0
3018100074,2024-02-02,1,1,1,0
4023300023,2026-02-09,1,1,1,0
3013390011,2025-11-03,0,0,0,1
4124730002,2025-04-29,1,1,0,0
4127460089,2025-02-13,1,1,0,0
5007940258,2024-04-26,1,1,0,0
3037720017,2025-07-15,1,1,0,0
3013930011,2025-03-10,1,1,1,0
1008670024,2025-03-26,1,1,1,0
4046990013,2025-11-20,0,0,0,1
5029080034,2024-11-15,1,1,1,0
5002230045,2024-08-31,1,1,0,0
4115950044,2025-05-02,0,0,0,1
3051080120,2024-04-22,1,1,1,0
4042660044,2025-12-12,1,1,0,0
2037150057,2026-03-18,1,1,1,0
4074630048,2024-12-13,0,0,0,1
3041250008,2025-06-30,1,1,1,0
4048630003,2024-01-12,1,1,1,0
3053080029,2025-10-27,1,0,0,0
3082360039,2024-11-04,1,0,0,0
4046650034,2025-10-31,1,1,1,0
3064610287,2024-12-03,1,1,0,0
4015650063,2025-06-25,0,0,0,1
5079410078,2025-05-05,0,0,1,1
4124730005,2025-04-29,1,0,0,0
4102340270,2025-03-10,1,1,0,0
4010980048,2024-05-03,0,0,1,1
4070460030,2024-01-05,0,0,0,1
4018930007,2024-07-26,1,0,1,0
4026380033,2025-11-25,1,0,0,0
4013610070,2024-05-10,0,0,0,1
2047060054,2024-04-09,1,1,0,0
4080440005,2024-03-05,1,1,1,0
3040790029,2024-08-28,1,1,1,0
4020130062,2026-02-05,1,1,0,0
3074220731,2024-05-07,1,0,0,0
3065900012,2025-06-04,1,0,0,0
4160490012,2024-06-17,1,1,0,0
2047060054,2024-04-09,1,1,0,0
5000320041,2024-02-15,1,1,1,0
3082690049,2026-02-04,1,1,0,0
4109220011,2025-12-11,1,1,0,0
4008660103,2024-07-08,0,0,0,1
4046260009,2025-12-12,0,0,1,1
4082630105,2025-04-08,1,0,1,0
4058030042,2025-05-28,1,1,0,0
3055110066,2024-10-24,1,1,1,0
3053350057,2025-10-23,0,0,1,1
5011600033,2025-01-30,0,0,0,1
3011060026,2025-06-03,1,1,0,0
4010980008,2025-10-31,1,1,1,0
3034220066,2024-09-03,1,1,1,0
