inspector_badge,total_cases,violation_rate,mean_severity,mean_comment_length,n_categories,top_category,n_boroughs,primary_unit,loo_strictness,no_access_rate
3324,1799,0.09727626459143969,0.2056698165647582,116.36464702612562,58,TRACKING COMPLIANCE : AREA : LOW RISE,5,CONSTRUCTION SAFETY ENFORCMENT,0.09727626459143969,0.0
3331,1237,0.16491511721907842,0.34761519805982216,214.40662894098625,62,Date,4,CONSTRUCTION SAFETY ENFORCMENT,0.16491511721907842,0.0
3332,224,1.0,2.2723214285714284,157.30803571428572,4,CONSTRUCTION SAFETY COMPLIANCE ACTIONS : LOW RISE,5,CONSTRUCTION SAFETY COMPLIANCE,1.0,0.0
3336,124,1.0,2.1129032258064515,101.96774193548387,3,CONSTRUCTION SAFETY COMPLIANCE ACTIONS : LOW RISE,4,CONSTRUCTION SAFETY COMPLIANCE,1.0,0.0
3339,1326,0.1975867269984917,0.40648567119155354,228.5950226244344,56,SCAFFOLD/SIDEWALK SHED : UNSAFE,4,CONSTRUCTION SAFETY ENFORCMENT,0.1975867269984917,0.0
3341,130,1.0,2.0307692307692307,161.3230769230769,4,CONSTRUCTION SAFETY COMPLIANCE ACTIONS : LOW RISE,4,CONSTRUCTION SAFETY COMPLIANCE,1.0,0.0
3343,336,0.22023809523809523,0.45535714285714285,71.16071428571429,30,TRACKING COMPLIANCE : AREA : LOW RISE,5,CONSTRUCTION SAFETY ENFORCMENT,0.22023809523809523,0.0
3344,33,0.9393939393939394,3.9393939393939394,79.93939393939394,3,Date,5,BRONX CONSTRUCTION ENFORCEMENT,0.9393939393939394,0.0
3355,491,0.2525458248472505,0.5010183299389002,51.09775967413442,7,BOILER : DEFECTIVE,5,BOILER DIVISION,0.2525458248472505,0.2921083627797409
3356,1351,0.22871946706143598,0.698741672834937,119.13767579570688,59,TRACKING COMPLIANCE : AREA : LOW RISE,5,CONSTRUCTION SAFETY ENFORCMENT,0.22871946706143598,0.05537459283387622
3374,76,0.2236842105263158,0.5526315789473685,245.3421052631579,7,Date,4,CRANES & DERRICKS DIVISION,0.2236842105263158,0.0
3375,255,0.5647058823529412,1.3372549019607842,68.68627450980392,7,Date,5,SPECIAL OPERATIONS,0.5647058823529412,0.5697503671071953
3376,35,1.0,2.0,81.71428571428571,2,CONSTRUCTION SAFETY COMPLIANCE ACTIONS : MAJOR BUILDING,3,CONSTRUCTION SAFETY COMPLIANCE,1.0,0.0
3378,856,0.07126168224299065,0.17757009345794392,176.84929906542055,47,INSPECTIONS : AREA : LOW RISE,5,CONSTRUCTION SAFETY ENFORCMENT,0.07126168224299065,0.0
3381,232,1.0,2.0775862068965516,347.4008620689655,3,CONSTRUCTION SAFETY COMPLIANCE ACTIONS : 1-3 FAMILY,4,CONSTRUCTION SAFETY COMPLIANCE,1.0,0.0
3386,1223,0.28618152085036797,0.7865903515944399,149.52248569092396,70,Date,5,EMERGENCY RESPONSE TEAM,0.28618152085036797,0.051787016776075855
3387,110,0.1,0.2,222.2,5,TRACKING COMPLIANCE : AREA : LOW RISE,5,CONSTRUCTION SAFETY ENFORCMENT,0.1,0.0
3393,75,0.9733333333333334,2.026666666666667,248.68,4,CONSTRUCTION SAFETY COMPLIANCE ACTIONS : LOW RISE,4,CONSTRUCTION SAFETY COMPLIANCE,0.9733333333333334,0.013157894736842105
3396,263,0.596958174904943,1.6197718631178708,73.22813688212928,8,Date,5,SPECIAL OPERATIONS,0.596958174904943,0.5457364341085271
3406,772,0.3911917098445596,0.8471502590673575,192.15414507772022,28,WORK WITHOUT A PERMIT - OCCUPIED MULTIPLE DWELLING : CONSTRUCTION,5,REAL TIME ENFORCEMENT,0.3911917098445596,0.2811101163831692
