bct2020,lat,lng,no_access_rate,n_inspections,pct_white,pct_black,pct_hispanic,pct_foreign_born,median_income,pct_owner_occ_census
4056400,40.72151322875399,-73.7335405258786,0.25806451612903225,124,0.1912087912087912,0.05128205128205128,0.3487179487179487,0.4065934065934066,86667,0.611353711790393
4056500,40.694406656782334,-73.89691538233438,0.4117647058823529,102,0.1419031719532554,0.028937117417918753,0.7774067890929327,0.38731218697829717,118319,0.4442595673876872
4056600,40.71952326571429,-73.73833107285714,0.3516483516483517,91,0.08254200146092038,0.28487947406866326,0.10445580715850986,0.5880204528853178,70938,0.6190476190476191
4056700,40.696917426499994,-73.8922327868,0.4919093851132686,309,0.3095956547978274,0.024542345604506136,0.6616374974854154,0.37336552001609336,107540,0.5671455340412243
4056800,40.715095199899494,-73.73402940462312,0.31420765027322406,366,0.05876351764945929,0.5915119363395226,0.23852275045909,0.479085900836564,106354,0.6453900709219859
4057700,40.70015033664825,-73.89070540718231,0.4560260586319218,307,0.5606508875739645,0.0,0.42677514792899407,0.37943786982248523,83438,0.2772820864790666
4057900,40.70358891865285,-73.88996539585492,0.3107569721115538,251,0.48936170212765956,0.022458628841607566,0.45449172576832153,0.4107565011820331,70841,0.2413223140495868
4058000,40.707361976077095,-73.73140051984127,0.3558282208588957,163,0.022176022176022176,0.7073227073227073,0.06814506814506814,0.4640794640794641,122411,0.7989130434782609
4058100,40.70429685187166,-73.89361347032086,0.4715447154471545,123,0.40174216027874565,0.037630662020905925,0.4418118466898955,0.343205574912892,74085,0.36129568106312293
4058200,40.70675072235068,-73.73750523420038,0.2442528735632184,348,0.027989821882951654,0.6808433296982915,0.11432206470374409,0.46910214467466377,116369,0.7971109652002626
4058300,40.70197147053942,-73.89767220933611,0.3791469194312796,211,0.5302102741549108,0.03593292520628161,0.2989087037529944,0.376364120308757,103774,0.24655547498187091
4058500,40.70438518548387,-73.89937640824373,0.5027027027027027,185,0.5986129172084959,0.021889900303424362,0.2785002167316862,0.41092327698309494,86667,0.20156438026474127
4058700,40.70710234262295,-73.90035662201406,0.38596491228070173,114,0.6863636363636364,0.024350649350649352,0.2133116883116883,0.5025974025974026,98016,0.22759158222915044
4058900,40.70644088553616,-73.90537375660848,0.5730337078651685,178,0.47154976205255533,0.0148975791433892,0.45768673701634593,0.36312849162011174,75089,0.06871035940803383
4059000,40.701401860509556,-73.73712201815287,0.3103448275862069,29,0.16947723440134907,0.6450252951096122,0.1543001686340641,0.4620573355817875,86000,0.845771144278607
